Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-VC_RS15315	262	327	261	267	618	586	629	1616	1527	1833	host	gene-VC_RS15315	0.7418011135892005	0	1
gene-VPVV882_gp58	2225	3003	2927	2962	23252	28552	24167	25215	28565	22614	phage	gene-VPVV882_gp58	0.687091484843733	0	0
gene-VC_RS10610	897	966	946	1064	1633	1871	2048	1150	1077	1047	host	flgG	0.3128707758657759	0	1
gene-VC_RS08225	1419	1296	1488	1317	1787	1167	1126	732	665	628	host	gene-VC_RS08225	0.3129237845664544	0	1
gene-VC_RS13785	219	179	243	228	277	274	276	382	403	365	host	gene-VC_RS13785	0.24994857315454405	0	1
gene-VC_RS15155	712	717	659	597	1205	1218	1437	1765	1879	1605	host	gene-VC_RS15155	0.3907919556935895	0	1
gene-VC_RS17700	947	766	750	925	1075	991	1077	921	620	830	host	gene-VC_RS17700	0.15739058677469878	0	1
gene-VC_RS08260	433	421	439	447	529	576	501	751	672	643	host	gene-VC_RS08260	0.20235777203339886	0	1
gene-VC_RS08110	209	270	260	266	327	339	342	529	483	492	host	pspC	0.3009316426052395	0	1
gene-VC_RS11295	742	750	831	914	769	795	754	700	759	706	host	gene-VC_RS11295	0.07728722222889274	0	1
gene-VC_RS11915	884	1061	1025	1175	1564	1668	1422	1837	1678	1720	host	gene-VC_RS11915	0.23003158830002574	0	1
gene-VC_RS05220	394	430	419	367	697	713	748	969	1098	977	host	gene-VC_RS05220	0.3779424314579319	0	1
gene-VC_RS07610	304	398	336	352	819	896	830	1634	1783	1603	host	gene-VC_RS07610	0.6166690926377809	0	1
gene-VPVV882_gp43	575	1991	232	319	9223	9324	9840	23034	24320	25399	phage	gene-VPVV882_gp43	0.9365830128697038	0	0
gene-VC_RS18405	799	919	796	871	1762	1843	1649	1976	1815	1762	host	gene-VC_RS18405	0.3348158568754617	0	1
gene-VC_RS16385	843	873	1062	998	468	393	455	513	572	488	host	gene-VC_RS16385	0.3561292863659903	0	1
gene-VC_RS18800	388	364	413	438	429	395	425	466	500	396	host	gene-VC_RS18800	0.08985153969995781	0	1
gene-VC_RS06705	3045	3100	2908	2910	3961	3907	4233	5546	5745	5149	host	hrpA	0.257724276971467	0	1
gene-VC_RS16350	71	90	86	75	135	106	108	163	190	159	host	gene-VC_RS16350	0.33051563820794594	0	1
gene-VC_RS06865	204	178	206	212	244	227	307	358	442	367	host	tsiV1	0.3063327737642881	0	1
gene-VC_RS11735	7082	7520	8190	7299	6546	6403	6577	6273	5946	5525	host	tolC	0.11151559479347321	0	1
gene-VC_RS17325	901	727	598	647	885	910	987	1197	1080	1107	host	yddG	0.20883999235400505	0	1
gene-VC_RS18525	90	86	80	97	142	135	144	212	215	192	host	gene-VC_RS18525	0.3547356348453997	0	1
gene-VC_RS17110	2756	2833	2379	2494	4867	4309	5040	7495	8188	6937	host	gene-VC_RS17110	0.43733967143275115	0	1
gene-VC_RS02925	3129	3526	3855	3925	3617	3361	3330	3359	3071	3248	host	petA	0.07907165311559458	0	1
gene-VC_RS08605	298	284	317	348	491	499	480	659	665	649	host	nagA	0.3087137307554946	0	1
gene-VC_RS14710	8188	9630	10395	9080	5590	4394	5375	4513	3764	3673	host	rpmI	0.3804676545412547	0	1
gene-VC_RS04420	795	913	907	1038	1468	1461	1386	1576	1642	1461	host	pomA	0.23668639573074712	0	1
gene-VC_RS10900	1957	2286	2250	2419	2178	2091	2082	2299	2211	2250	host	uppS	0.05663412715964149	0	1
gene-VC_RS06600	378	446	447	403	249	251	294	404	453	412	host	gene-VC_RS06600	0.2022207691084867	0	1
gene-VC_RS04600	218	238	234	262	388	320	370	554	594	559	host	vpsj	0.3718772717304783	0	1
gene-VC_RS16335	1879	2048	2113	1931	2581	2692	2773	2831	2827	2467	host	folE	0.15079913879838272	0	1
gene-VC_RS05845	611	597	580	611	1008	1025	1040	1553	1504	1488	host	gene-VC_RS05845	0.3790502418881503	0	1
gene-VC_RS08405	147	227	183	184	346	332	317	763	773	708	host	gene-VC_RS08405	0.5987253195603298	0	1
gene-VC_RS12535	2490	2486	2505	2538	3288	3653	3245	3922	3669	3425	host	rnr	0.1719291865308586	0	1
gene-VC_RS03400	318	419	420	397	438	463	433	885	724	848	host	gene-VC_RS03400	0.36181554395132054	0	1
gene-VC_RS14065	288	341	280	290	528	561	562	939	982	862	host	gene-VC_RS14065	0.46533782801636825	0	1
gene-VC_RS12880	1010	1014	1281	1437	1111	1004	761	1822	1617	1671	host	hslU	0.2608256244094208	0	1
gene-VC_RS03775	839	895	961	946	877	754	941	1635	1503	1607	host	fdx	0.2961887621193886	0	1
gene-VC_RS06530	1453	1820	1624	1849	3422	3744	3538	5096	4815	5350	host	gene-VC_RS06530	0.43770489451883166	0	1
gene-VC_RS01705	9012	6576	6295	5395	4747	5738	7447	4622	3755	4338	host	gene-VC_RS01705	0.2610190978460714	0	1
gene-VC_RS15335	260	308	254	229	545	481	704	1327	1992	1297	host	gene-VC_RS15335	0.7698784222988297	0	1
gene-VC_RS03885	366	474	687	713	880	777	743	838	755	640	host	vibH	0.2193116680910598	0	1
gene-VC_RS07470	334	408	441	543	469	425	412	704	630	587	host	gene-VC_RS07470	0.22258639365356797	0	1
gene-VC_RS05895	106	91	100	75	101	119	105	152	167	161	host	hutG	0.253609096168489	0	1
gene-VC_RS13060	288	299	319	326	474	500	428	586	578	524	host	envZ	0.2559063221752312	0	1
gene-VC_RS03705	213	214	205	273	166	158	168	264	279	212	host	gene-VC_RS03705	0.19623534974303583	0	1
gene-VC_RS00045	2382	2144	2047	2164	791	662	776	778	763	654	host	gene-VC_RS00045	0.5428248985684065	0	1
gene-VC_RS13170	560	655	648	723	701	771	632	802	800	744	host	gspC	0.10705264507003961	0	1
gene-VC_RS06710	2288	2815	2690	2921	1750	1745	1612	1336	1224	1116	host	gene-VC_RS06710	0.33036480743675345	0	1
gene-VC_RS13565	253	267	258	261	422	418	422	766	848	769	host	gene-VC_RS13565	0.4793425061792321	0	1
gene-VC_RS14275	1218	1497	1270	1270	3020	3101	3036	5972	7021	5511	host	gene-VC_RS14275	0.6217834532635015	0	1
gene-VC_RS14505	12	8	17	10	24	22	26	93	87	103	host	gene-VC_RS14505	0.8968895037357383	0	1
gene-VC_RS15580	583	836	782	725	2077	2027	2195	4554	4650	4483	host	gene-VC_RS15580	0.695308000121939	0	1
gene-VC_RS18100	73	62	98	78	86	78	101	142	157	116	host	gene-VC_RS18100	0.29597074308206256	0	1
gene-VPVV882_gp23	3668	5795	711	915	34073	43030	45168	53964	47977	55122	phage	gene-VPVV882_gp23	0.7636625621072851	0	0
gene-VC_RS13610	1886	1869	2088	1867	1794	1699	1842	1779	1705	1493	host	gene-VC_RS13610	0.08140972009844696	0	1
gene-VC_RS10785	1298	1370	1413	1303	1845	1756	2032	2158	2069	1893	host	gene-VC_RS10785	0.18692767821597575	0	1
gene-VC_RS02175	1577	1637	1629	1540	2047	1766	1953	1839	2147	1417	host	argR	0.12831853225385792	0	1
gene-VC_RS14395	51	63	42	64	90	100	107	142	139	131	host	gene-VC_RS14395	0.3778378857119519	0	1
gene-VC_RS12645	233	272	268	244	233	179	190	328	274	295	host	gene-VC_RS12645	0.17197690269340396	0	1
gene-VC_RS01690	12814	11559	10351	9806	7808	7497	10281	7133	7141	6625	host	gene-VC_RS01690	0.2234752180674425	0	1
gene-VC_RS00910	569	661	595	574	1913	1732	1969	2779	3187	3129	host	gene-VC_RS00910	0.5955994273543671	0	1
gene-VC_RS15735	572	615	562	518	767	673	869	1538	1709	1554	host	gene-VC_RS15735	0.47623214749858317	0	1
gene-VC_RS18145	142	175	158	145	293	304	247	430	417	421	host	gene-VC_RS18145	0.4103800620739272	0	1
gene-VC_RS09590	271	315	303	303	484	514	493	1162	1235	1157	host	gene-VC_RS09590	0.6045840148593142	0	1
gene-VC_RS06355	1760	1822	1721	1834	2276	2518	2417	2481	1924	2084	host	gene-VC_RS06355	0.14294766570556283	0	1
gene-VC_RS15570	198	325	236	177	723	661	837	1766	2817	1748	host	gene-VC_RS15570	0.8817839121206902	0	1
gene-VPVV882_gp15	2722	5461	759	1069	33823	41210	39955	58096	54422	62514	phage	gene-VPVV882_gp15	0.7971804073071429	0	0
gene-VC_RS11215	2452	2101	2011	2300	1223	1071	1166	1214	1256	1054	host	dapD	0.33444429584211266	0	1
gene-VC_RS14105	1372	1467	1440	1358	1080	1117	1024	1197	1266	1101	host	mbhE	0.12263325190743223	0	1
gene-VC_RS03870	310	362	352	340	682	646	587	1123	1180	935	host	gene-VC_RS03870	0.47895492212638047	0	1
gene-VC_RS08630	240	297	301	315	609	552	605	881	1090	935	host	gene-VC_RS08630	0.49239825428059963	0	1
gene-VC_RS10450	995	997	835	932	940	880	1001	1081	1038	1034	host	gene-VC_RS10450	0.07402941317353284	0	1
gene-VC_RS11705	2418	2604	2206	2306	2306	2543	2490	3756	3712	3387	host	parC	0.20623946453227063	0	1
gene-VC_RS02970	1240	1175	1269	1194	1808	1658	1636	2064	2364	1973	host	rsmI	0.24081605844385448	0	1
gene-VC_RS01140	1348	1590	1494	1470	1118	1114	1117	1565	1783	1467	host	waaA	0.15444075711820965	0	1
gene-VC_RS06480	321	398	415	384	360	397	381	846	957	822	host	gene-VC_RS06480	0.4366947443442368	0	1
gene-VC_RS18415	2876	3001	3141	4929	2480	2422	2520	2457	2618	2201	host	gene-VC_RS18415	0.2585883396682106	0	1
gene-VC_RS05300	2737	2418	2252	2189	4329	4181	4829	4808	4759	4194	host	gene-VC_RS05300	0.29142315132189905	0	1
gene-VC_RS03005	1499	1818	1688	1723	2227	2198	2134	3032	2924	2760	host	panC	0.23449260437843572	0	1
gene-VC_RS15450	255	262	305	318	581	452	633	940	1102	951	host	gene-VC_RS15450	0.5201786578297957	0	1
gene-VC_RS18185	328	467	555	587	440	427	389	449	410	382	host	gene-VC_RS18185	0.1674192266040842	0	1
gene-VC_RS07755	1555	1643	1717	1594	1713	1615	1847	1935	1975	1734	host	gene-VC_RS07755	0.07871652816251155	0	1
gene-VPVV882_gp19	9137	14680	2148	2666	99704	115031	129570	153494	156336	151649	phage	J	0.7734010893664768	0	0
gene-VC_RS07160	611	715	709	818	1401	1383	1301	1459	1381	1320	host	gene-VC_RS07160	0.29695791462733456	0	1
gene-VC_RS02725	1207	1198	1298	1373	633	567	512	608	636	588	host	cysM	0.39096538973608685	0	1
gene-VC_RS07595	131	137	127	162	275	209	214	356	268	263	host	gene-VC_RS07595	0.3376793009210269	0	1
gene-VC_RS12190	1205	1359	1307	1352	891	651	810	873	906	752	host	lptA	0.2511461251700051	0	1
gene-VC_RS14650	466	794	980	1087	455	403	319	486	430	415	host	gcvH	0.4367169687569048	0	1
gene-VC_RS11975	130	137	134	160	200	184	199	289	261	236	host	gene-VC_RS11975	0.2718603030537804	0	1
gene-VC_RS05985	1394	1421	1296	1393	1923	2075	1885	2153	2053	1954	host	pheS	0.18182640641072223	0	1
gene-VC_RS05380	97	134	117	116	188	206	200	302	352	299	host	gene-VC_RS05380	0.4230755410287677	0	1
gene-VC_RS07485	1071	1403	1599	1819	1616	1658	1588	2159	1735	1922	host	gene-VC_RS07485	0.16771185433760805	0	1
gene-VC_RS09370	116	143	134	143	321	322	339	412	442	378	host	gene-VC_RS09370	0.43892882383900717	0	1
gene-VC_RS02395	344	365	413	467	418	433	376	743	654	725	host	gene-VC_RS02395	0.29403445678570617	0	1
gene-VC_RS01025	933	1358	1438	1543	1511	1866	1496	1541	1351	1384	host	rph	0.15275262877718518	0	1
gene-VC_RS12245	2846	2489	2289	2429	2638	3409	2881	3376	3623	3148	host	thiP	0.14981384651178414	0	1
gene-VC_RS15220	218	216	252	251	357	290	326	541	532	474	host	gene-VC_RS15220	0.34688799860558656	0	1
gene-VC_RS06100	196	173	232	214	212	191	178	307	334	246	host	gene-VC_RS06100	0.22414522916492233	0	1
gene-VC_RS07075	24	27	38	30	41	41	24	50	49	63	host	gene-VC_RS07075	0.31436527263882197	0	1
gene-VC_RS05825	760	717	805	755	950	949	1050	684	599	522	host	gene-VC_RS05825	0.2007047652699953	0	1
gene-VC_RS03435	647	709	644	729	1218	1292	1216	1586	1501	1604	host	murJ	0.33770234046356984	0	1
gene-VC_RS04910	882	916	901	1001	881	791	954	1005	952	881	host	gene-VC_RS04910_gene_nagA	0.06668135286615658	0	1
gene-VC_RS01675	1367	1529	1526	1598	2078	2066	2168	2338	2183	2036	host	rsgA	0.17342241999307625	0	1
gene-VC_RS07150	462	503	455	484	900	851	894	1435	1496	1354	host	gene-VC_RS07150	0.44821265291104345	0	1
gene-VC_RS17855	194	253	310	359	436	421	377	686	553	747	host	ppiC	0.3930260125774715	0	1
gene-VC_RS03820	1448	1974	1758	1996	2237	2487	2097	3195	2626	2955	host	bamB	0.2251807253750132	0	1
gene-VC_RS03900	208	255	359	374	407	367	299	373	363	288	host	gene-VC_RS03900	0.18281631322069505	0	1
gene-VC_RS04760	2633	2384	2139	2204	4405	4548	4863	5894	5585	5192	host	gene-VC_RS04760	0.3539884135677409	0	1
gene-VC_RS18805	18	14	30	26	46	37	28	61	69	56	host	gene-VC_RS18805	0.46176091269819247	0	1
gene-VC_RS09825	4268	3656	4020	3796	3843	4478	3688	2718	1758	2168	host	gene-VC_RS09825	0.2512166036683686	0	1
gene-VC_RS04520	452	444	618	511	1382	1640	1634	1074	1921	999	host	gene-VC_RS04520	0.49214846813009455	0	1
gene-VC_RS10515	4425	4106	4272	4004	2638	2770	2862	1862	1557	1437	host	gene-VC_RS10515	0.36447840904479756	0	1
gene-VC_RS06625	1358	1388	1438	1436	1824	1606	1727	2149	2304	1869	host	gene-VC_RS06625	0.18229305069205767	0	1
gene-VC_RS02815	1581	1272	1342	1243	1571	2616	1935	1200	760	1032	host	gene-VC_RS02815	0.3384603642617098	0	1
gene-VC_RS11060	6105	6415	6270	6106	2740	2778	2866	3064	2849	2819	host	nqrF	0.39407037759327196	0	1
gene-VC_RS05970	1053	889	1063	838	1200	1949	1140	677	696	588	host	gene-VC_RS05970	0.36688087840760025	0	1
gene-VC_RS07375	238	236	232	240	364	318	316	419	398	382	host	gene-VC_RS07375	0.22336186852743148	0	1
gene-VC_RS11490	1861	1730	1927	1705	1332	1051	1288	1305	1496	1121	host	gene-VC_RS11490	0.19800670420289287	0	1
gene-VC_RS08600	119	151	145	163	218	218	218	306	345	352	host	gene-VC_RS08600	0.35841830703396044	0	1
gene-VC_RS03345	2354	2491	2283	2331	4405	4676	4455	5151	5119	4519	host	srmB	0.31206961788496285	0	1
gene-VC_RS06975	1720	1798	2024	1827	779	671	807	875	900	760	host	ccoO	0.42714334792416636	0	1
gene-VC_RS12230	1052	1178	1396	1197	1566	1587	2657	1583	1392	1372	host	pmbA	0.2826284199181183	0	1
gene-VC_RS08100	162	179	133	171	224	223	249	463	415	440	host	gene-VC_RS08100	0.4454410341891248	0	1
gene-VC_RS12705	859	800	844	745	923	805	914	714	574	620	host	pilM	0.14244443533307183	0	1
gene-VC_RS01005	60	86	69	71	106	122	107	218	200	154	host	murQ	0.43782288113173223	0	1
gene-VC_RS00630	632	1080	644	672	701	630	722	838	847	769	host	rhtB	0.1756245553214694	0	1
gene-VC_RS16675	3876	4984	5874	5668	965	1002	720	444	375	350	host	gene-VC_RS16675	0.9269569382698026	0	1
gene-VC_RS03430	22898	18382	19757	16666	11188	12726	12493	11447	7273	10189	host	rpsT	0.32482023522805537	0	1
gene-VC_RS16560	555	585	558	553	892	722	858	1015	1127	879	host	dcuC	0.25715684492286744	0	1
gene-VC_RS01210	3160	2745	4058	3213	2264	1800	2065	2140	2227	1998	host	gene-VC_RS01210	0.2635659792918287	0	1
gene-VC_RS16230	789	786	670	735	720	592	711	883	1012	849	host	gene-VC_RS16230	0.14538813605878703	0	1
gene-VC_RS03715	984	1093	1146	1196	1627	1672	1509	1790	1637	1669	host	tgt	0.1951188994552098	0	1
gene-VC_RS18810	1096	1063	866	1083	852	787	927	894	1093	804	host	gene-VC_RS18810	0.12514815973506033	0	1
gene-VC_RS18075	196	178	210	195	257	309	237	389	372	352	host	gene-VC_RS18075	0.2807081361481844	0	1
gene-VC_RS01440	1466	1495	1364	1551	492	386	440	519	535	470	host	acs	0.5632331254743854	0	1
gene-VC_RS05120	183	208	217	196	236	237	235	289	285	312	host	gene-VC_RS05120	0.16886551361728916	0	1
gene-VC_RS02820	884	881	989	978	905	855	835	791	953	740	host	gene-VC_RS02820	0.0861474060222554	0	1
gene-VC_RS08015	1583	1487	1658	1633	636	628	559	1111	1306	1016	host	gene-VC_RS08015	0.3570863432815894	0	1
gene-VC_RS10685	786	952	1336	1428	1063	860	892	872	735	691	host	gene-VC_RS10685	0.243174203979091	0	1
gene-VC_RS04050	2610	2725	2711	2598	3086	2800	3245	3910	3935	3501	host	gene-VC_RS04050	0.15767710832820148	0	1
gene-VC_RS12840	247	281	264	305	461	482	400	621	576	584	host	gene-VC_RS12840	0.32164488645168204	0	1
gene-VC_RS05780	1256	1357	1270	1254	1534	1569	1499	2411	2347	2189	host	cydC	0.2637697253567996	0	1
gene-VC_RS16510	258	244	210	232	247	288	259	352	336	327	host	gene-VC_RS16510	0.16600549542835372	0	1
gene-VC_RS17395	39	54	39	50	111	91	100	144	163	130	host	gene-VC_RS17395	0.46626350731656246	0	1
gene-VC_RS13790	189	157	175	181	271	272	301	339	388	337	host	gene-VC_RS13790	0.29580429932138014	0	1
gene-VC_RS09810	1485	1617	1666	1626	1597	1257	1592	1702	1869	1531	host	yejK	0.09376802316103944	0	1
gene-VC_RS04240	308	318	290	346	491	536	476	564	741	512	host	gene-VC_RS04240	0.2965291213633199	0	1
gene-VC_RS06115	152	220	210	253	328	300	290	476	441	482	host	gene-VC_RS06115	0.3492263815232249	0	1
gene-VC_RS17315	772	839	724	781	1194	921	1293	1636	1412	1438	host	gene-VC_RS17315	0.286620929755201	0	1
gene-VC_RS13930	270	329	304	309	209	177	168	315	320	306	host	vasH	0.2177595826810583	0	1
gene-VC_RS11180	934	1171	1029	1026	3910	4344	3584	4725	5470	4360	host	gene-VC_RS11180	0.559923812713544	0	1
gene-VC_RS00465	642	623	650	680	843	850	816	909	945	795	host	ubiA	0.14399194666139087	0	1
gene-VC_RS01150	1107	1183	1221	1129	851	720	760	1208	1361	1116	host	gene-VC_RS01150	0.1906274094888708	0	1
gene-VC_RS05955	12870	12150	9395	9336	6717	3803	7457	5920	3515	4922	host	gene-VC_RS05955	0.40851675258618364	0	1
gene-VC_RS05950	1850	1992	1878	1843	3333	3113	3492	4087	4056	3659	host	pgsA	0.3049328929381939	0	1
gene-VC_RS01945	5750	4009	5345	4582	7621	13085	8130	5361	6493	6108	host	gene-VC_RS01945	0.3693127925596687	0	1
gene-VC_RS06315	435	521	471	537	920	993	938	1318	1246	1246	host	thiD	0.3821274971401213	0	1
gene-VC_RS09875	344	413	475	490	320	335	276	411	376	392	host	gene-VC_RS09875	0.16703418465709385	0	1
gene-VC_RS08555	568	612	598	616	924	874	958	1152	1137	1094	host	gene-VC_RS08555	0.2633940115841754	0	1
gene-VPVV882_gp32	1265	5665	413	531	14011	16883	16791	58287	57251	60885	phage	gene-VPVV882_gp32	1.0379607492907275	0	0
gene-VC_RS08545	859	973	1034	952	1324	1175	1283	1823	2053	1734	host	gene-VC_RS08545	0.2965134508182855	0	1
gene-VC_RS14155	1059	1151	1193	1195	1444	1483	1397	2525	3283	2338	host	gene-VC_RS14155	0.41519371751316403	0	1
gene-VC_RS10125	245	282	230	262	331	374	364	494	483	445	host	gene-VC_RS10125	0.2647672633086223	0	1
gene-VC_RS12200	7194	7083	6494	6302	5860	5341	6328	5515	5336	4655	host	gene-VC_RS12200	0.1286440224481179	0	1
gene-VC_RS14720	455	521	558	576	988	1066	970	1345	1767	1391	host	intIA	0.434586187643598	0	1
gene-VC_RS06680	805	714	867	748	875	863	858	1353	1332	1210	host	gene-VC_RS06680	0.2370203521360545	0	1
gene-VC_RS03135	128	102	97	149	142	142	151	215	210	243	host	gene-VC_RS03135	0.29417949248532393	0	1
gene-VC_RS03415	283	334	293	283	619	569	658	1057	1053	973	host	gene-VC_RS03415	0.4960879684545461	0	1
gene-VC_RS14805	636	636	599	567	1088	943	1382	1932	2888	1914	host	gene-VC_RS14805	0.5823120512082273	0	1
gene-VC_RS04325	643	514	524	528	791	838	827	955	1194	870	host	tnpA	0.27081570288285145	0	1
gene-VC_RS17975	755	885	1068	964	508	493	477	446	496	469	host	gene-VC_RS17975	0.3448886447256598	0	1
gene-VC_RS01855	35956	35589	39229	32411	20723	24655	25840	20213	18845	16141	host	rplI	0.2895822526461397	0	1
gene-VC_RS04005	57	64	62	59	139	112	123	235	209	218	host	citG	0.5235297321811001	0	1
gene-VC_RS06080	384	444	355	354	702	673	636	1253	1438	1164	host	btuD	0.5158708826870696	0	1
gene-VC_RS08735	311	302	277	227	264	201	245	287	372	253	host	gene-VC_RS08735	0.16672933715734856	0	1
gene-VC_RS01275	2475	2388	2385	2296	4145	4341	4638	4694	4744	4454	host	gene-VC_RS01275	0.28737214752702356	0	1
gene-VC_RS05055	238	255	202	180	438	483	441	698	701	736	host	moaC	0.47061896415129034	0	1
gene-VC_RS10550	24828	23274	25035	25136	33132	37716	27361	19891	13893	15498	host	gene-VC_RS10550	0.2802524254255279	0	1
gene-VC_RS12115	1403	1531	1647	1571	1661	1552	1508	1608	1530	1344	host	pyrB	0.061785578341906476	0	1
gene-VC_RS02770	2192	2316	2580	2160	1696	1546	1750	1712	1457	1577	host	gene-VC_RS02770	0.19090050878213902	0	1
gene-VC_RS05660	1271	1893	2267	2187	1311	1335	1047	1320	1278	1208	host	gene-VC_RS05660	0.27281703977411664	0	1
gene-VC_RS08960	513	543	467	520	947	952	985	1573	1685	1487	host	gene-VC_RS08960	0.46120018524343864	0	1
gene-VC_RS06450	169	210	151	239	250	265	252	428	419	470	host	gene-VC_RS06450	0.3750538045191822	0	1
gene-VC_RS10035	3257	3713	4553	4255	1540	1439	1511	1612	1557	1428	host	sucD	0.4956650046822382	0	1
gene-VC_RS08140	939	950	897	910	577	618	662	801	822	718	host	sapC	0.16580486816064482	0	1
gene-VC_RS10650	2410	2600	2644	2519	2135	1728	2121	1978	1738	1696	host	flgA	0.162892304386466	0	1
gene-VC_RS14125	106	144	109	108	265	254	207	352	392	365	host	tnaA	0.46377597270902626	0	1
gene-VC_RS15455	514	571	666	559	1127	906	1164	1598	1780	1514	host	gene-VC_RS15455	0.42923814785298886	0	1
gene-VC_RS07400	421	405	456	436	501	500	574	636	610	598	host	gene-VC_RS07400	0.15706325400539348	0	1
gene-VC_RS01415	8256	8454	7384	7111	16045	16624	18495	22971	21893	20473	host	dusB	0.40901996339909147	0	1
gene-VC_RS05190	3051	2841	2807	2720	3051	3004	3100	4763	3933	4311	host	recR	0.20133538264351197	0	1
gene-VC_RS15785	429	442	433	444	723	824	725	1113	1315	1060	host	gene-VC_RS15785_gene_tnpA	0.40964652572172033	0	1
gene-VC_RS08055	758	869	778	832	1106	1080	1041	1750	1801	1634	host	gene-VC_RS08055	0.33321370910080306	0	1
gene-VC_RS06065	143	171	151	205	200	223	185	357	376	307	host	gene-VC_RS06065	0.34574900467167313	0	1
gene-VC_RS01500	443	574	556	647	796	766	760	913	827	795	host	fre	0.19608640647031042	0	1
gene-VC_RS00255	365	407	400	476	455	494	448	666	640	635	host	aroE	0.2080205446740001	0	1
gene-VC_RS01775	472	448	511	485	421	386	376	451	481	418	host	gene-VC_RS01775	0.09422351750710117	0	1
gene-VC_RS05020	448	500	588	666	454	494	438	409	287	328	host	gene-VC_RS05020	0.22965063199707267	0	1
gene-VC_RS09965	2239	2141	1916	1914	2596	2851	2719	2792	2471	2455	host	flhF	0.13562882366560225	0	1
gene-VC_RS14700	8103	9093	8948	8684	11955	12602	12983	15781	15315	14272	host	thrS	0.2329365145164195	0	1
gene-VC_RS16625	39	43	44	40	71	80	59	84	83	89	host	gene-VC_RS16625	0.30647227013777817	0	1
gene-VC_RS17650	514	878	1231	1537	593	564	456	557	596	510	host	hutZ	0.4632562442600092	0	1
gene-VC_RS09980	1494	1545	1488	1458	2133	2079	2080	2777	3035	2670	host	gene-VC_RS09980	0.2688812870877463	0	1
gene-VC_RS17545	0	0	0	0	0	0	0	0	0	0	host	tdh	0.0	0	1
gene-VC_RS17585	1474	1398	1537	1294	1255	1132	1334	1273	1261	1011	host	gene-VC_RS17585	0.11257743702101025	0	1
gene-VC_RS13895	696	641	664	607	452	423	480	608	634	536	host	tssF	0.15704063695524254	0	1
gene-VC_RS11400	887	996	1170	1250	759	734	740	980	997	853	host	gene-VC_RS11400	0.17943713679622905	0	1
gene-VC_RS16195	163	161	166	180	207	216	206	287	316	238	host	gene-VC_RS16195	0.23502396723738175	0	1
gene-VC_RS09625	745	751	676	653	879	813	828	1026	1031	892	host	gene-VC_RS09625	0.149555441825789	0	1
gene-VC_RS18045	163	148	122	121	293	266	287	355	416	332	host	ctlX	0.3990730613892801	0	1
gene-VC_RS12690	52	62	64	54	103	115	101	174	242	193	host	gene-VC_RS12690	0.5392170745699073	0	1
gene-VC_RS02390	324	311	312	354	312	296	284	595	582	552	host	ruvX	0.3114601123705232	0	1
gene-VC_RS10355	964	994	904	886	1082	1083	1150	1420	1518	1350	host	gene-VC_RS10355	0.18570936079806502	0	1
gene-VC_RS16115	1177	1382	1461	1367	949	948	998	1162	1027	1005	host	vxrB	0.1604180341265734	0	1
gene-VC_RS09440	300	310	348	346	392	366	416	452	472	405	host	gene-VC_RS09440	0.14238797703079106	0	1
gene-VC_RS08970	1185	1411	1327	1323	2487	2442	2515	4124	4118	3937	host	gene-VC_RS08970	0.4584499048386756	0	1
gene-VC_RS12380	1973	2253	2154	2140	2672	2568	2540	3903	4313	3438	host	gene-VC_RS12380	0.27446286674700493	0	1
gene-VC_RS03735	12681	13326	11169	11294	30245	28253	33315	34666	31589	29935	host	suhB	0.4050233476793887	0	1
gene-VC_RS13775	247	274	225	228	442	500	466	752	716	730	host	gene-VC_RS13775	0.4445974604646372	0	1
gene-VC_RS02570	168	179	183	239	281	302	271	245	323	242	host	gene-VC_RS02570	0.20734933059757898	0	1
gene-VC_RS16690	472	589	570	578	1000	1011	1006	1746	1918	1736	host	gene-VC_RS16690_gene_secD	0.4901427903361133	0	1
gene-VC_RS18530	155	141	151	136	231	232	213	374	365	320	host	gene-VC_RS18530	0.37595674178495886	0	1
gene-VC_RS16060	78	113	80	85	174	160	172	251	272	244	host	gene-VC_RS16060	0.4301273967175793	0	1
gene-VC_RS13920	102	114	108	102	78	80	67	96	83	96	host	icmH	0.1532716630601311	0	1
gene-VC_RS08125	374	423	398	354	567	522	557	696	780	567	host	pspF	0.2542705923946545	0	1
gene-VC_RS09745	3624	4039	4753	4089	4466	6146	4555	5460	5851	5091	host	plsX	0.1621626146956347	0	1
gene-VC_RS02170	1055	987	1036	1119	1103	1201	953	1031	921	980	host	gene-VC_RS02170	0.07737045412148172	0	1
gene-VC_RS03200	62336	68958	79511	64463	14716	10667	13574	10378	9569	7675	host	ompU	0.8379447055229855	0	1
gene-VC_RS17635	153	190	175	156	242	248	201	374	346	305	host	gene-VC_RS17635	0.31407519965108865	0	1
gene-VC_RS16155	980	1043	1092	1094	1010	887	971	1193	1321	1133	host	gene-VC_RS16155	0.10986765128685165	0	1
gene-VC_RS09880	396	451	522	526	453	390	426	515	538	511	host	gene-VC_RS09880	0.11301939229811692	0	1
gene-VC_RS17670	440	538	603	692	610	571	614	759	638	687	host	gene-VC_RS17670	0.1370022858806945	0	1
gene-VC_RS01790	2378	2483	2590	2265	1801	1565	1849	1928	1949	1721	host	gene-VC_RS01790	0.1618344172814122	0	1
