Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA2434	14	16	23	29	63	25	48	17	6	18	16	1	3	host	gene-PA2434	0.7804572052397046	0	1
gene-PA2790	12	12	28	17	20	22	26	0	8	7	9	1	2	host	gene-PA2790	0.7127628876196321	0	1
gene-PA5524	227	107	221	188	441	217	245	244	48	72	137	17	18	host	gene-PA5524	0.6791445387164949	0	1
gene-PA3979	179	139	307	280	266	154	235	79	42	124	44	4	22	host	gene-PA3979	0.6909085805420762	0	1
gene-PA2209	6	5	9	9	9	8	5	0	2	1	32	1	0	host	gene-PA2209	1.2016855207986321	0	1
gene-PA3464	50	37	56	71	69	24	60	27	8	18	37	3	2	host	gene-PA3464	0.6558905874153059	0	1
gene-EST35_0324	0	0	0	0	7439	5943	293	70725	31902	17347	83192	33724	44533	phage	gene-EST35_0324	1.2067023426063654	0	0
gene-PA3442	37	33	23	47	57	34	62	21	7	12	26	0	0	host	gene-PA3442	0.6987924745436773	0	1
gene-PA0755	28	17	37	32	40	25	60	9	5	9	34	7	3	host	opdH	0.6960093862470135	0	1
gene-PA2803	15	4	12	12	24	10	14	10	1	8	17	1	0	host	gene-PA2803	0.6874999999999999	0	1
gene-PA4289	40	34	48	51	73	57	104	33	10	32	45	2	3	host	gene-PA4289	0.6617876232398906	0	1
gene-PA0887	2415	1062	1379	1004	1790	1092	2650	1347	381	962	517	125	164	host	acsA	0.6602822195507867	0	1
gene-PA4554	644	461	839	859	607	405	727	155	103	348	158	38	32	host	pilY1	0.7002215500395138	0	1
gene-PA2413	10	7	13	18	16	6	15	6	5	5	27	3	3	host	pvdH	0.6649752062670287	0	1
gene-PA5316	8940	6162	12039	7608	7216	5591	8661	1042	1381	3032	184	188	404	host	rpmB	0.7989689563858182	0	1
gene-PA3015	110	96	177	145	148	98	155	66	13	40	56	9	4	host	gene-PA3015	0.666110740842729	0	1
gene-PA5090	50	35	72	74	78	43	79	26	7	17	109	4	5	host	gene-PA5090	0.7095335360657802	0	1
gene-PA4098	15	15	20	31	49	20	35	20	2	5	30	4	4	host	gene-PA4098	0.705112756940335	0	1
gene-PA5331	760	475	826	871	880	484	793	275	129	263	99	32	44	host	pyrE	0.7063187137664699	0	1
gene-PA3541	31	10	34	35	41	34	45	28	9	11	65	5	3	host	alg8	0.6554935827902852	0	1
gene-PA4748	7983	6191	9657	10377	15210	9484	15974	5126	2278	5530	800	351	845	host	tpiA	0.7210884566428444	0	1
gene-PA2963	274	208	336	470	397	300	610	97	73	179	43	14	30	host	gene-PA2963	0.766208258112714	0	1
gene-PA3562	845	697	793	1355	1442	480	974	527	69	149	163	20	21	host	fruI	0.8131590792545178	0	1
gene-EST35_0041	0	0	0	0	1601	7207	5002	7027	5595	4832	9090	2995	5120	phage	gene-EST35_0041	0.8171145572557675	0	0
gene-PA0705	356	232	425	339	261	198	211	54	47	87	41	12	12	host	migA	0.7836476317038412	0	1
gene-PA3774	7	5	13	5	13	14	6	4	2	4	34	1	0	host	gene-PA3774	1.0369543617838233	0	1
gene-EST35_0359	0	0	0	0	101501	52929	9501	79106	31365	34287	25469	12610	23896	phage	gene-EST35_0359	1.0841189561234146	0	0
gene-PA2749	86	72	103	106	136	60	90	50	17	34	21	8	8	host	endA	0.6606382155677978	0	1
gene-PA4813	16	14	25	19	33	14	28	7	5	8	30	3	4	host	lipC	0.6324480801148096	0	1
gene-PA4626	45	36	69	75	55	39	62	27	11	21	36	5	4	host	hprA	0.6053574538516783	0	1
gene-PA2696	50	26	45	43	33	27	33	11	7	9	24	1	5	host	gene-PA2696	0.6521590079559428	0	1
gene-PA1997	65	49	92	104	114	67	79	40	27	25	44	6	8	host	gene-PA1997	0.6080827743768336	0	1
gene-PA5053	235	270	828	385	1209	281	181	488	586	178	117	124	95	host	hslV	0.820005669099265	0	1
gene-PA5567	384	319	490	676	274	174	364	71	50	112	43	12	11	host	gene-PA5567	0.8751906881344604	0	1
gene-PA0183	34	28	53	49	46	31	51	21	15	22	87	6	3	host	atsA	0.6411928847623363	0	1
gene-PA3851	255	204	319	384	422	166	300	143	30	80	54	9	7	host	gene-PA3851	0.7583789700716581	0	1
gene-PA2877	95	66	88	122	90	57	104	17	12	16	30	3	6	host	gene-PA2877	0.7482561911274839	0	1
gene-PA0816	75	55	73	90	122	70	75	41	16	23	42	4	4	host	gene-PA0816	0.6426845869171512	0	1
gene-EST35_0038	0	0	0	0	138414	76598	30849	30061	70047	153734	9860	16687	18858	phage	gene-EST35_0038	1.2069368084328687	0	0
gene-PA0606	170	203	374	164	127	161	238	29	38	75	82	13	9	host	gene-PA0606	0.7800433810428216	0	1
gene-PA1499	10	7	12	11	17	14	18	10	7	5	14	3	0	host	gene-PA1499	0.5206900844672385	0	1
gene-PA2985	79	67	142	150	80	52	116	17	23	48	37	8	11	host	gene-PA2985	0.7221783630370704	0	1
gene-PA1031	808	460	839	845	874	473	637	277	100	197	123	47	38	host	gene-PA1031	0.720349698735401	0	1
gene-PA1308	223	122	229	262	217	135	284	49	31	76	17	9	15	host	gene-PA1308	0.7702547231915813	0	1
gene-PA2528	121	98	125	179	225	77	168	64	54	79	55	11	13	host	gene-PA2528	0.631392075924977	0	1
gene-PA4315	1150	979	2011	1752	709	696	1081	104	152	323	30	41	58	host	mvaT	0.917344131877174	0	1
gene-PA4248	5100	3700	5341	8107	4218	3816	4023	828	2386	3581	339	799	1072	host	rplF	0.6410960854583734	0	1
gene-PA2758	50	21	52	45	47	51	53	15	9	16	19	6	2	host	gene-PA2758	0.6465274925311529	0	1
gene-PA1577	37	40	57	44	48	36	48	15	13	19	12	7	4	host	gene-PA1577	0.593629616750762	0	1
gene-PA0519	43	53	77	204	137	32	759	78	14	70	116	15	23	host	nirS	1.5270602218424267	0	1
gene-PA3615	270	181	264	320	364	222	447	124	84	122	141	41	63	host	gene-PA3615	0.5865231307740627	0	1
gene-PA0540	50	45	69	70	62	27	55	11	10	11	25	3	1	host	gene-PA0540	0.7316719476795429	0	1
gene-PA2839	14	7	12	17	26	14	44	4	5	5	20	1	0	host	gene-PA2839	0.8940199853375632	0	1
gene-PA4175	146	108	138	227	210	118	205	72	23	44	46	10	5	host	piv	0.7199645024881212	0	1
gene-PA1326	67	46	41	67	74	34	44	22	7	22	31	9	2	host	ilvA2	0.6333999162925154	0	1
gene-EST35_0346	0	0	0	0	517	3837	417	9763	10835	1588	212630	112686	55968	phage	gene-EST35_0346	1.944073855887343	0	0
gene-EST35_0061	0	0	0	0	11984	25057	25015	3695	4597	5538	1458	3778	4891	phage	gene-EST35_0061	1.2810257875759095	0	0
gene-EST35_0114	0	0	0	0	50	452	30	4967	5728	2521	3845	2742	4600	phage	gene-EST35_0114	1.1170564124155524	0	0
gene-PA3108	934	532	903	1171	965	516	954	214	226	537	81	54	62	host	purF	0.6982541484084049	0	1
gene-PA0377	173	122	166	284	715	205	297	413	165	367	137	30	61	host	gene-PA0377	0.7222197783148628	0	1
gene-PA3385	682	613	1300	1182	765	412	916	61	153	364	20	55	63	host	amrZ	0.8396806143856105	0	1
gene-PA4277.3	22812	11590	26431	19363	25131	5976	13392	9033	1550	4169	964	215	635	host	gene-PA4277.3	0.8627905396036759	0	1
gene-EST35_0402	0	0	0	0	1125	2619	140	3522	4060	2930	2681	2779	3241	phage	gene-EST35_0402	0.8549609118966701	0	0
gene-PA0643	147	99	140	198	183	154	109	72	72	48	57	28	15	host	gene-PA0643	0.5575589549993295	0	1
gene-PA3713	162	131	209	303	149	105	108	45	21	28	66	7	4	host	spdH	0.825067425838995	0	1
gene-PA3704	436	307	412	542	755	316	699	236	59	111	132	20	26	host	wspE	0.7625200592344044	0	1
gene-PA0063	203	163	247	360	371	163	273	116	33	49	74	8	10	host	gene-PA0063	0.7594467180807868	0	1
gene-PA3972	122	72	122	125	210	258	265	67	49	74	81	14	26	host	gene-PA3972	0.6937072916456419	0	1
gene-PA5389	21	19	43	29	37	25	33	13	6	9	58	5	3	host	cdhR	0.6870412615561224	0	1
gene-PA2323	233	132	186	149	123	85	156	51	27	70	51	7	15	host	gene-PA2323	0.6832046627348258	0	1
gene-PA0937	378	276	469	352	288	238	302	35	42	80	25	9	10	host	gene-PA0937	0.8165775752482114	0	1
gene-PA3855	60	66	94	100	110	86	141	23	18	34	25	5	1	host	gene-PA3855	0.7327832033642704	0	1
gene-PA0252	31	16	34	46	20	17	14	1	1	8	26	1	1	host	gene-PA0252	0.8394579461456366	0	1
gene-PA4824	27	21	31	42	49	26	39	29	10	18	36	1	0	host	gene-PA4824	0.5724785025541016	0	1
gene-PA5234	84	78	107	128	145	87	105	47	17	30	59	11	6	host	gene-PA5234	0.6276599751492977	0	1
gene-PA1304	190	119	195	222	236	107	174	48	36	55	49	3	11	host	gene-PA1304	0.7211477782854082	0	1
gene-PA2754	19	15	40	52	57	56	112	7	28	32	10	12	15	host	gene-PA2754	0.8010981473940891	0	1
gene-PA1270	23	18	42	59	78	44	42	23	9	11	26	1	2	host	gene-PA1270	0.7572702224835638	0	1
gene-PA0478	27	14	39	26	34	22	30	8	2	14	20	3	1	host	gene-PA0478	0.6557438524302002	0	1
gene-PA1992	62	27	56	61	99	40	104	38	14	34	39	5	8	host	ercS	0.6600565979269345	0	1
gene-PA1801	2330	1439	2430	2596	1757	1041	1697	673	299	625	189	104	84	host	clpP	0.7565647285252634	0	1
gene-PA4272.1	3439	2721	5866	5312	4219	3779	3293	802	1102	2523	219	234	329	host	gene-PA4272.1	0.7158836784693686	0	1
gene-PA2270	129	118	165	276	259	89	106	54	10	16	13	3	2	host	gene-PA2270	0.9439115650652299	0	1
gene-PA3687	250	170	234	260	297	170	230	101	34	55	83	18	16	host	ppc	0.6583157430122769	0	1
gene-PA2312	16	8	23	18	28	13	17	7	3	7	27	1	3	host	gene-PA2312	0.670655961957027	0	1
gene-PA2219	12	12	17	26	20	16	21	9	2	9	17	3	0	host	opdE	0.600106573917907	0	1
gene-PA0677	1	7	13	9	25	13	19	8	5	5	25	0	2	host	gene-PA0677	0.799951215225109	0	1
gene-PA2716	21	18	26	34	36	23	33	16	8	14	18	4	7	host	gene-PA2716	0.503040452183182	0	1
gene-PA1518	50	37	53	58	58	37	56	2	8	13	13	5	6	host	gene-PA1518	0.7235542565468923	0	1
gene-PA1022	14	8	31	20	20	13	20	4	5	10	24	1	3	host	gene-PA1022	0.6639100122710395	0	1
gene-PA1002	126	71	120	216	585	145	453	245	36	154	54	7	13	host	phnB	0.9692886905278288	0	1
gene-PA2956	173	105	197	184	177	106	148	37	16	26	37	4	3	host	gene-PA2956	0.7785300280703846	0	1
gene-PA4654	13	15	15	22	23	15	27	4	5	13	31	2	3	host	gene-PA4654	0.6218173834068377	0	1
gene-PA2121	12	8	9	16	17	4	20	5	2	10	25	5	0	host	gene-PA2121	0.7008228690364539	0	1
gene-PA3911	13	15	8	78	41	9	148	22	2	4	22	0	1	host	gene-PA3911	1.4414638391861452	0	1
gene-PA2087	2	5	7	12	8	5	10	1	1	0	14	1	0	host	gene-PA2087	0.9058021319778864	0	1
gene-PA2936	9	3	12	12	12	9	5	0	0	3	7	0	0	host	gene-PA2936	0.8487008954140105	0	1
gene-PA1686	93	64	81	189	193	62	163	52	16	47	17	4	2	host	alkA	0.851057482272659	0	1
gene-PA4812	800	586	813	1777	1332	652	2055	250	143	271	154	58	65	host	fdnG	0.9217479612249677	0	1
gene-PA3121	281	153	224	327	303	159	365	111	36	75	66	19	26	host	leuC	0.7141393809681699	0	1
gene-PA4838	45	30	72	77	50	36	55	18	11	18	42	3	4	host	gene-PA4838	0.6575924681659053	0	1
gene-PA0524	29	26	49	75	89	27	239	33	7	23	80	3	6	host	norB	1.1421931640549263	0	1
gene-PA3905	123	93	116	249	219	55	172	38	9	33	18	4	5	host	gene-PA3905	0.9207616122359679	0	1
gene-PA3035	8	5	17	19	19	9	15	2	3	4	23	1	3	host	gene-PA3035	0.7525185577030642	0	1
gene-PA4789	26	23	32	32	32	28	25	5	11	13	12	3	2	host	gene-PA4789	0.5870535064228696	0	1
gene-PA0861	333	222	364	435	402	249	468	107	47	107	127	17	21	host	gene-PA0861	0.7035688332959461	0	1
gene-PA0471	22	13	31	32	23	16	21	19	6	26	48	1	2	host	gene-PA0471	0.6272651261321153	0	1
gene-PA0152	170	146	156	247	241	93	209	88	17	32	56	7	7	host	pcaQ	0.7455396181402211	0	1
gene-PA0499	21	5	39	17	14	7	24	9	9	9	55	3	2	host	gene-PA0499	0.900281882468556	0	1
gene-PA1056	293	280	347	654	679	319	615	362	100	236	153	25	51	host	gene-PA1056	0.6644860639380726	0	1
gene-PA1898	28	13	39	25	35	21	24	23	3	10	16	2	5	host	qscR	0.6064466004293085	0	1
gene-PA3520	0	2	10	4	3	2	0	0	0	2	10	1	1	host	gene-PA3520	1.2394863979133635	0	1
gene-PA3039	24	15	35	35	32	19	44	8	2	17	47	4	3	host	gene-PA3039	0.6830309219805908	0	1
gene-PA1199	871	675	985	1203	729	472	774	118	64	184	47	14	20	host	gene-PA1199	0.8537083531369187	0	1
gene-PA0416	85	80	99	190	361	65	134	131	7	28	27	2	5	host	chpD	1.017671296024532	0	1
gene-PA2266	98	83	120	185	257	135	164	70	39	87	39	16	14	host	gene-PA2266	0.6804817738140841	0	1
gene-PA2329	17	5	7	28	12	11	18	10	3	6	13	2	1	host	gene-PA2329	0.7143252858053306	0	1
gene-PA1569	11	4	13	13	18	16	14	10	3	6	27	1	4	host	gene-PA1569	0.648624919128371	0	1
gene-PA4814	11	10	34	29	31	11	21	7	3	10	77	4	2	host	fadH2	1.0239062457080728	0	1
gene-PA2605	33	25	51	82	60	51	77	19	15	33	15	5	3	host	gene-PA2605	0.6954294332600577	0	1
gene-PA3549	3	6	15	5	7	6	7	4	3	3	23	0	3	host	algJ	0.8950459577228346	0	1
gene-PA4573	61	47	73	89	109	96	106	27	25	49	19	9	5	host	gene-PA4573	0.6459812683894023	0	1
gene-PA4392	87	42	91	73	99	62	69	30	9	23	22	4	6	host	gene-PA4392	0.6941749844460914	0	1
gene-PA1493	486	246	429	591	348	189	288	58	77	143	37	19	35	host	cysP	0.8071034098263582	0	1
gene-PA1206	151	77	135	134	134	80	194	40	34	88	24	7	12	host	gene-PA1206	0.6766575448486244	0	1
gene-PA4057	373	299	458	626	303	201	458	62	47	82	29	7	11	host	nrdR	0.8742932875618393	0	1
gene-PA0367	81	56	108	89	86	63	91	17	14	33	64	11	10	host	gene-PA0367	0.6027604754527832	0	1
gene-PA3593	29	20	39	44	47	49	36	19	5	12	73	3	5	host	gene-PA3593	0.6909420777474112	0	1
gene-PA2022	35	30	68	45	79	55	142	26	15	44	19	5	9	host	gene-PA2022	0.8057525218761985	0	1
gene-PA3424	21	13	24	47	22	27	43	19	4	12	28	0	3	host	gene-PA3424	0.678619350799264	0	1
gene-PA4852	2282	1419	2337	2925	4331	1747	2563	2214	609	1155	727	132	234	host	gene-PA4852	0.6608734083694258	0	1
gene-PA2444	68	45	79	82	127	63	106	66	21	40	62	8	6	host	glyA2	0.5774251471361855	0	1
gene-PA2040	434	246	467	356	367	242	493	59	57	122	49	10	16	host	gene-PA2040	0.7808824298051396	0	1
gene-PA2989	37	34	88	61	52	91	153	11	19	44	14	4	12	host	gene-PA2989	0.8544643124123231	0	1
gene-PA3132	41	24	34	30	311	79	48	286	90	162	55	13	10	host	gene-PA3132	1.0617559793175386	0	1
gene-PA3614	91	87	126	115	155	152	214	44	49	75	58	28	35	host	gene-PA3614	0.564490906640898	0	1
gene-PA3708	834	622	1043	1004	759	415	749	216	92	160	101	22	29	host	wspA	0.7929485744199897	0	1
gene-PA4426	246	273	442	612	291	268	321	56	67	152	37	17	25	host	gene-PA4426	0.803614849648593	0	1
gene-PA0654	1901	1775	3595	2997	655	460	453	42	118	194	71	27	48	host	speD	1.2356093411844211	0	1
gene-PA5180	25	26	64	53	54	42	32	27	13	16	48	14	24	host	gene-PA5180	0.47877752072029617	0	1
gene-PA2268	46	43	52	72	130	39	61	24	5	11	24	2	1	host	gene-PA2268	0.8741976054000591	0	1
gene-PA1806	165	111	169	186	170	80	199	53	20	33	10	5	7	host	fabI	0.7886966112733129	0	1
gene-PA1049	154	117	175	278	221	115	253	63	25	59	20	10	11	host	pdxH	0.7849288839204082	0	1
gene-EST35_0429	0	0	0	0	20012	11516	2853	27127	11288	11746	7529	1944	4760	phage	gene-EST35_0429	1.0798389045488797	0	0
gene-PA0435	34	42	39	92	114	71	61	48	17	17	76	3	4	host	gene-PA0435	0.6895064853555529	0	1
gene-PA3500	10	7	6	8	18	12	8	9	2	11	37	3	4	host	gene-PA3500	0.835692134884175	0	1
gene-PA1636	175	110	133	223	261	94	166	110	21	35	81	9	10	host	kdpD	0.7065364782975646	0	1
gene-PA4461	737	733	1236	1559	975	584	1035	227	187	490	84	33	69	host	gene-PA4461	0.769831939571367	0	1
gene-PA2421	22	10	18	21	25	10	18	18	4	5	28	5	2	host	gene-PA2421	0.5862927260307779	0	1
gene-PA4784	83	52	58	102	66	38	103	31	13	26	52	2	6	host	gene-PA4784	0.6651895723180377	0	1
gene-PA1920	9	9	14	5	30	14	41	7	3	7	40	3	2	host	nrdD	0.9347826086956521	0	1
gene-PA5531	169	155	264	361	205	128	172	75	48	168	87	12	24	host	tonB1	0.6591477214013816	0	1
gene-PA2206	30	19	19	29	57	29	39	10	6	9	19	2	1	host	gene-PA2206	0.745165408497654	0	1
gene-EST35_0007	0	0	0	0	678	4186	231	2592	5511	5328	3587	2173	3580	phage	gene-EST35_0007	0.9524453144373733	0	0
gene-PA5500	266	182	249	387	430	211	350	135	55	107	76	8	13	host	znuC	0.7114647174271224	0	1
gene-EST35_0006	0	0	0	0	944	3409	179	2621	4115	4643	3402	1881	2706	phage	gene-EST35_0006	0.9101708772078664	0	0
gene-PA3435	228	127	217	210	206	135	161	26	41	78	26	7	9	host	gene-PA3435	0.7299212200208268	0	1
gene-PA4819	12	12	20	29	15	12	11	8	0	5	23	2	2	host	gene-PA4819	0.7127747839509252	0	1
gene-PA3872	4	5	12	11	121	9	147	55	5	29	13	0	5	host	narI	1.434937096584323	0	1
gene-PA1111	9	6	9	11	25	9	18	7	4	6	15	2	1	host	gene-PA1111	0.683628179081739	0	1
gene-PA1101	933	622	859	1129	1117	559	1180	164	81	203	87	35	30	host	fliF	0.8208029340495627	0	1
gene-PA5060	746	393	662	776	1432	601	980	292	300	529	139	123	175	host	phaF	0.6602796013922364	0	1
gene-EST35_0436	0	0	0	0	1838	2743	69	7170	6764	5741	2320	1497	3429	phage	gene-EST35_0436	1.0450606622927174	0	0
gene-PA2851	5417	3739	6963	6887	3539	1897	3206	536	408	1090	105	70	139	host	efp	0.9391663013853209	0	1
gene-PA4694	1430	1100	1837	2264	704	642	1037	106	151	278	74	56	52	host	ilvC	0.9502231129998026	0	1
gene-PA4361	75	47	79	73	76	57	79	26	4	28	27	8	6	host	gene-PA4361	0.6360490582953524	0	1
gene-PA1225	13	20	14	38	29	12	20	7	1	5	30	3	3	host	gene-PA1225	0.7537938234060613	0	1
gene-PA3644	1465	1065	1642	1799	1835	1064	1789	473	283	597	103	48	76	host	lpxA	0.7257588972626593	0	1
gene-PA1863	55	41	86	105	100	75	155	27	26	38	12	4	9	host	modA	0.7705114799627693	0	1
gene-PA3394	10	10	19	28	58	18	145	24	5	7	20	1	0	host	nosF	1.4003090246153667	0	1
gene-PA1953	8	11	12	26	22	9	16	11	5	6	22	0	1	host	gene-PA1953	0.6780848827014813	0	1
gene-PA4747	23438	14842	24352	25354	23618	12866	19993	8630	2023	5959	1596	279	761	host	secG	0.7578837097766388	0	1
gene-PA3317	172	116	196	269	269	112	211	71	24	55	33	3	10	host	gene-PA3317	0.7774698024299044	0	1
gene-PA4514	109	100	189	197	104	121	157	41	28	61	108	6	15	host	gene-PA4514	0.6331742296179733	0	1
gene-PA4187	17	16	49	24	20	21	23	16	3	8	80	2	2	host	gene-PA4187	0.9563357584295527	0	1
gene-EST35_0399	0	0	0	0	861	792	140	1850	953	658	2639	1787	1632	phage	gene-EST35_0399	0.9630807760377705	0	0
gene-PA2838	13	8	11	18	27	14	30	7	5	7	30	2	4	host	gene-PA2838	0.6987019399045964	0	1
gene-PA4421.1	1359266	682168	1062292	1224163	2025122	898825	1024647	1047168	289302	521448	241175	96397	116799	host	rnpB	0.6644156368661494	0	1
gene-PA1872	76	51	77	85	78	47	69	26	12	31	20	6	7	host	gene-PA1872	0.6323353961161644	0	1
gene-PA0622	411	299	248	496	594	470	223	228	157	129	135	71	31	host	gene-PA0622	0.6270392244463273	0	1
gene-PA4794	52	47	80	73	49	45	71	18	4	16	16	2	4	host	gene-PA4794	0.7359177400498459	0	1
gene-PA1547	49	45	57	126	109	52	154	36	18	23	10	2	4	host	gene-PA1547	0.8811860707347	0	1
gene-PA1208	79	75	107	109	100	66	112	34	21	35	55	12	9	host	gene-PA1208	0.5808979458024528	0	1
gene-PA2396	41	29	65	48	50	15	57	3	6	19	41	5	8	host	pvdF	0.7021770676904041	0	1
gene-PA1851	31	40	32	36	56	31	71	22	9	23	19	3	5	host	gene-PA1851	0.6410637558036386	0	1
gene-PA5172	144	106	156	593	1808	431	4678	279	149	539	115	83	177	host	arcB	1.7239664691814622	0	1
gene-EST35_0440	0	0	0	0	472	654	37	3984	5162	3658	1979	1362	3653	phage	gene-EST35_0440	1.1130414302035918	0	0
gene-PA3182	296	109	134	169	517	154	710	164	38	180	43	15	15	host	pgl	1.0084763662115395	0	1
gene-PA1895	9	7	31	8	27	30	22	4	10	15	39	5	4	host	gene-PA1895	0.7140844967778271	0	1
gene-PA1384	16	10	54	19	16	15	27	3	2	8	58	4	3	host	galE	0.9777238188786832	0	1
gene-PA4188	5	4	11	12	11	7	6	7	1	2	32	2	1	host	gene-PA4188	1.0161908572926892	0	1
gene-PA2714	45	48	61	79	57	45	65	28	9	11	64	7	3	host	gene-PA2714	0.6166261670501255	0	1
gene-PA2410	59	42	81	126	176	61	72	27	10	19	21	0	6	host	gene-PA2410	0.9147208785822514	0	1
gene-EST35_0209	0	0	0	0	110	556	64	9453	9661	1878	101208	124960	96248	phage	gene-EST35_0209	1.695800896433435	0	0
gene-PA2844	56	36	62	100	103	43	69	34	11	21	26	1	3	host	gene-PA2844	0.7371463626482475	0	1
gene-PA0840	73	45	66	79	742	128	199	80	24	37	57	4	7	host	gene-PA0840	1.5756272535150735	0	1
gene-PA3229	20	14	31	23	13	20	32	12	9	9	15	0	3	host	gene-PA3229	0.597967730564837	0	1
gene-EST35_0219	0	0	0	0	24	457	92	8921	7650	409	66205	37875	21367	phage	gene-EST35_0219	1.754054108888994	0	0
gene-PA0145	43	37	58	83	112	47	64	33	19	10	28	3	5	host	gene-PA0145	0.7314747777972289	0	1
gene-PA4151	17	10	31	23	45	21	28	22	4	8	38	3	4	host	acoB	0.6656920356229091	0	1
gene-PA2350	10	4	15	6	12	7	11	7	2	3	15	1	0	host	gene-PA2350	0.6866582813371872	0	1
gene-PA1538	28	16	30	16	22	19	21	5	6	6	45	3	10	host	gene-PA1538	0.6643078324632357	0	1
gene-PA0493	57	38	66	80	59	58	171	21	9	62	11	1	7	host	gene-PA0493	0.8829659711732949	0	1
gene-PA0372	178	156	265	375	281	170	283	40	83	194	51	24	21	host	gene-PA0372	0.6768063095245118	0	1
gene-EST35_0406	0	0	1	0	8143	3932	562	16730	5141	4412	7851	2695	2988	phage	gene-EST35_0406	1.137881986143609	0	0
gene-PA3489	63	52	102	137	106	76	119	23	22	37	27	7	2	host	gene-PA3489	0.7258925763039313	0	1
gene-PA4742	1013	903	1225	2027	1926	1194	1852	752	397	842	154	89	127	host	truB	0.6748458603086362	0	1
gene-PA5383	7	10	14	15	13	12	15	7	2	4	48	3	4	host	gene-PA5383	0.9601171430187229	0	1
gene-PA1219	7	2	6	7	16	5	9	5	2	2	10	1	2	host	gene-PA1219	0.7173626724317295	0	1
gene-PA1075	202	152	212	271	186	162	302	55	35	77	26	8	11	host	gene-PA1075	0.7452706484362941	0	1
gene-PA1958	116	93	172	198	154	80	179	48	19	40	31	5	8	host	gene-PA1958	0.7588363841027624	0	1
gene-PA4178	39	19	45	57	32	17	33	10	8	20	31	1	3	host	gene-PA4178	0.6733152972745873	0	1
gene-PA2845	2	5	3	7	14	3	6	2	1	2	4	1	0	host	gene-PA2845	0.9169514709078119	0	1
gene-PA4033	5	6	16	16	7	7	15	2	1	6	8	1	1	host	gene-PA4033	0.7580028290540894	0	1
gene-PA4442	2436	447	542	772	713	458	469	341	317	304	152	51	91	host	cysN	1.070488775774835	0	1
gene-PA1361	386	291	402	780	673	296	442	205	77	163	98	20	23	host	gene-PA1361	0.77157009351905	0	1
gene-PA1808	51	50	111	107	69	75	139	12	20	44	21	8	3	host	gene-PA1808	0.7667148210010747	0	1
gene-PA3603	136	126	229	210	108	103	264	25	22	45	14	6	3	host	dgkA	0.8745223969750366	0	1
gene-PA3818	1200	1109	2009	2697	1775	694	1195	541	307	686	160	67	116	host	gene-PA3818	0.8027051763564452	0	1
gene-PA0885	6	10	6	9	18	13	18	2	5	6	30	0	1	host	gene-PA0885	0.8493432610117151	0	1
gene-PA4262	5430	3075	3840	6154	6119	3815	2888	1260	2937	3474	467	831	1311	host	rplD	0.5727949928053342	0	1
gene-PA1658	55	48	66	136	117	38	141	39	15	27	34	2	7	host	gene-PA1658	0.8087535366206646	0	1
gene-PA1343	69	52	82	108	33	8	19	5	6	6	15	2	3	host	gene-PA1343	1.07860404143536	0	1
gene-PA0135	2	2	4	1	4	1	2	2	1	1	25	2	0	host	gene-PA0135	1.7342709678565813	0	1
gene-PA1200	182	136	208	358	174	138	259	33	27	50	31	6	12	host	gene-PA1200	0.8492541347476195	0	1
gene-PA2143	2	1	5	4	14	6	6	7	0	3	2	0	1	host	gene-PA2143	0.9403591222181803	0	1
gene-PA1824	177	152	244	285	358	141	274	104	22	74	44	7	6	host	gene-PA1824	0.7708182092560929	0	1
gene-EST35_0451	0	0	0	0	6142	7975	862	15237	7182	6503	2729	1711	3554	phage	gene-EST35_0451	1.0851651244732836	0	0
gene-PA4728	77	90	118	234	236	78	167	65	16	46	34	10	6	host	folK	0.8316459483811623	0	1
gene-PA0862	110	85	130	113	144	105	149	41	26	52	26	10	9	host	gene-PA0862	0.6444858415822647	0	1
gene-PA4981	26	16	51	22	28	34	27	8	8	8	53	1	2	host	gene-PA4981	0.7497602605658326	0	1
gene-PA3805	653	592	1084	1077	1184	630	952	312	202	444	67	37	94	host	pilF	0.7020887837759271	0	1
gene-PA0989	50	47	69	73	64	46	65	12	12	26	30	3	3	host	gene-PA0989	0.6404186130961529	0	1
gene-PA4829	82	62	96	105	113	71	86	26	15	24	77	14	5	host	lpd3	0.6114958903660193	0	1
gene-EST35_0320	0	0	0	0	2281	1304	28	11760	7691	3289	47993	23931	28176	phage	gene-EST35_0320	1.4691933488062734	0	0
gene-PA3356	477	219	255	295	367	190	338	115	58	105	53	23	19	host	gene-PA3356	0.7280781556703969	0	1
gene-PA3879	71	74	77	175	141	74	167	42	20	31	40	7	11	host	narL	0.7624982822784009	0	1
gene-PA1197	107	84	107	123	129	77	146	46	22	39	50	9	11	host	gene-PA1197	0.616302979776089	0	1
gene-PA1509	113	98	221	147	75	84	126	26	29	21	29	9	11	host	gene-PA1509	0.8081594202560498	0	1
gene-PA1216	4	1	17	8	8	6	8	5	0	4	47	0	1	host	gene-PA1216	1.430839758890415	0	1
gene-PA2002	9	17	15	17	22	16	21	3	3	13	26	1	2	host	gene-PA2002	0.6328619385312296	0	1
gene-PA5008	557	402	655	779	644	304	672	153	92	151	77	21	29	host	gene-PA5008	0.7729618957550989	0	1
