Geneid	0_R1	0_R2	0_R3	6_R1	6_R2	6_R3	12_R1	12_R2	12_R3	18_R1	18_R2	18_R3	Entity	Symbol
gene-PA5015	52290	25688	35270	18364	13429	8289	10522	7786	7565	19615	13493	9053	host	aceE
gene-PA1470	109	269	131	96	178	50	42	95	70	52	96	74	host	gene-PA1470
gene-PA0839	96	317	233	535	4184	2328	332	486	251	129	230	121	host	gene-PA0839
gene-PA2008	0	0	0	0	0	0	0	0	0	0	1	0	host	fahA
gene-PA4832	104	232	127	83	136	92	46	60	70	60	97	69	host	gene-PA4832
gene-PA2126	0	0	0	0	0	0	1	0	0	0	2	0	host	gene-PA2126
gene-PA4909	44	115	78	30	109	38	29	41	36	30	71	32	host	gene-PA4909
gene-PA2474	25	48	19	10	21	12	11	13	11	14	15	14	host	gene-PA2474
gene-PA3911	1387	623	1200	630	550	485	211	363	236	898	414	209	host	gene-PA3911
gene-PA0725	48	128	65	26	48	25	17	25	32	31	37	25	host	gene-PA0725
gene-PA1600	256	818	1081	395	1225	252	389	252	108	426	669	1088	host	gene-PA1600
gene-PA0979	49	100	72	63	80	56	55	47	43	44	55	56	host	gene-PA0979
gene-PA1106	597	850	643	480	878	546	368	537	440	384	489	435	host	gene-PA1106
gene-PA1866	570	1151	714	327	583	361	261	471	390	291	481	385	host	gene-PA1866
gene-PA3103	611	1361	711	404	1025	575	388	943	768	403	773	914	host	xcpR
gene-PA4297	139	338	237	57	157	65	41	94	90	85	97	67	host	tadG
gene-PA3084	1037	1629	1295	1119	2355	1381	842	1411	1365	874	1254	1341	host	gene-PA3084
gene-PA5051	4086	11097	9401	3149	8102	4406	2464	3639	2204	3219	3774	3338	host	argS
gene-PA2384	23	31	87	21	19	81	14	8	56	18	19	55	host	gene-PA2384
gene-PA0260	867	1305	1355	1130	1648	878	750	1168	937	652	779	882	host	gene-PA0260
gene-PA2747	168	459	336	146	266	155	75	179	154	187	178	134	host	gene-PA2747
gene-PA3342	255	812	530	215	277	94	85	169	112	110	120	80	host	gene-PA3342
gene-PA1025	33	92	71	35	113	59	30	53	47	24	45	43	host	gene-PA1025
gene-PA0582	187	234	200	301	898	643	368	515	336	395	388	467	host	folB
gene-PA4710	195	366	195	141	233	97	315	97	205	126	328	554	host	phuR
gene-PA0261	140	222	189	127	125	94	106	84	111	117	114	143	host	gene-PA0261
gene-PA5025	868	872	1669	367	549	486	201	287	325	322	360	317	host	metY
gene-PA0938	1914	2309	1891	2854	7056	6134	2928	4518	3580	2489	3476	4585	host	gene-PA0938
gene-PA5138	493	609	502	545	1304	968	661	1725	762	643	1176	1424	host	gene-PA5138
gene-PA3481	1084	1867	1542	848	2382	1542	813	1317	1583	931	1404	1437	host	gene-PA3481
gene-PA1489	45	212	157	40	165	143	40	102	194	50	88	155	host	gene-PA1489
gene-PA5565	2780	3498	2822	4257	10138	5754	4404	5849	4071	5331	5186	6158	host	gidA
gene-PA0428	5182	4896	3171	8497	13669	8266	7956	9265	6132	5679	8767	8972	host	gene-PA0428
gene-PA0375	1555	2229	1904	1262	3159	2167	1184	2244	1734	1157	1808	1714	host	ftsX
gene-PA1453	2253	4220	2899	2104	2914	1657	1295	1730	1630	1659	1774	1576	host	flhF
gene-PA0238	55	151	88	20	67	24	25	30	33	24	35	22	host	gene-PA0238
gene-PA4384	72	232	127	165	471	149	47	353	56	43	174	68	host	gene-PA4384
gene-PA2880	50	73	82	57	91	53	58	69	31	53	62	39	host	gene-PA2880
gene-PA1416	266	1806	319	460	783	151	134	286	110	134	168	206	host	gene-PA1416
gene-PA3624	1359	1337	1295	987	2599	2029	1203	1763	1604	1272	1746	2059	host	pcm
gene-PA3683	233	608	559	331	827	623	244	468	569	256	330	455	host	gene-PA3683
gene-PA2632	523	1349	776	650	772	578	545	613	519	409	576	488	host	gene-PA2632
gene-PA3717	121	210	192	104	298	192	80	132	165	112	134	173	host	gene-PA3717
gene-PA3270	435	682	570	354	1046	650	289	566	595	338	433	539	host	gene-PA3270
gene-PA2919	84	285	124	39	75	30	17	26	10	46	42	15	host	gene-PA2919
gene-PA1414	5817	28625	7571	1674	4099	574	750	1191	502	2349	2570	441	host	gene-PA1414
gene-PA4772	831	2635	2726	960	3427	2688	599	2801	6333	493	1851	2534	host	gene-PA4772
gene-PA3487	1580	933	685	1350	767	506	1402	717	771	1340	1084	743	host	pldA
gene-PA5252a	1310	3372	2979	660	1343	833	416	665	872	501	971	682	host	gene-PA5252a
gene-PA1478	621	601	397	599	970	714	519	632	475	517	606	496	host	gene-PA1478
gene-PA2359	80	83	88	61	92	45	47	58	58	58	50	80	host	gene-PA2359
gene-PA1387	200	523	345	102	347	180	95	185	164	124	177	131	host	gene-PA1387
gene-PA3864	236	997	433	278	678	375	202	493	317	243	363	326	host	dauR
gene-PA2012	0	0	0	0	0	0	0	0	0	0	1	0	host	liuD
gene-PA5038	1316	2191	2246	1245	3361	2145	1089	1866	1391	967	1591	1513	host	aroB
gene-PA2694	143	218	117	127	274	151	107	166	147	102	183	139	host	gene-PA2694
gene-PA2691	108	237	196	102	120	91	58	85	116	72	94	133	host	gene-PA2691
gene-PA4966	964	1032	1427	673	1798	1756	733	1454	1402	774	1460	1505	host	gene-PA4966
gene-PA2570	12	15	12	25	26	28	11	19	13	5	13	9	host	lecA
gene-PA0674	36	74	39	20	18	31	44	13	34	31	45	73	host	vreA
gene-PA3463	80	107	104	66	139	88	47	86	73	65	69	80	host	gene-PA3463
gene-PA1367	95	123	115	61	228	140	46	132	108	56	89	145	host	gene-PA1367
gene-PA1978	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA1978
gene-PA1310	45	165	79	46	87	27	36	58	164	34	71	28	host	phnW
gene-PA4205	102	148	143	51	155	96	46	90	224	52	89	114	host	mexG
gene-PA4794	332	941	768	194	395	214	149	191	393	185	314	217	host	gene-PA4794
gene-PA5513	172	267	241	202	444	322	156	307	247	189	198	268	host	poxA
gene-PA4839	921	1836	1101	1009	5281	3909	1183	2245	1708	1172	1637	1688	host	speA
gene-PA0144	193	321	187	104	227	132	53	109	125	61	97	116	host	gene-PA0144
gene-PA5193	627	746	641	971	2665	1934	1003	1517	1177	1048	1180	1581	host	yrfI
gene-PA3300	229	405	381	180	572	535	128	298	409	136	264	303	host	fadD2
gene-PA1061	474	1913	741	642	1794	545	274	903	500	322	516	319	host	gene-PA1061
gene-PA0704	212	376	284	371	570	370	182	462	294	152	205	296	host	gene-PA0704
gene-PA4048	288	725	418	254	553	594	304	685	601	370	685	446	host	gene-PA4048
gene-PA4421.1	461099	800309	538555	301424	616651	318065	263672	422779	169833	329891	430380	276594	host	rnpB
gene-PA3719	30	80	34	40	34	19	41	64	74	30	88	108	host	armR
gene-PA2112	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2112
gene-PA3150	3099	2879	2102	3381	4881	2872	2996	4995	2850	2585	4434	3550	host	wbpG
gene-PA3088	563	907	843	456	1241	822	426	745	759	504	752	759	host	gene-PA3088
gene-PA1570	196	432	207	163	461	212	166	284	259	191	414	274	host	gene-PA1570
gene-PA5518	405	1494	863	534	1414	737	313	1252	1011	514	807	819	host	gene-PA5518
gene-PA4690	395	582	555	272	601	523	248	444	389	319	377	455	host	gene-PA4690
gene-PA1641	161	258	135	81	229	84	55	89	77	73	96	140	host	gene-PA1641
gene-PA3385	3692	8655	7090	2596	5243	1675	1515	2041	1881	2052	2753	2539	host	amrZ
gene-PA1036	493	1082	577	204	543	242	214	429	386	309	487	433	host	gene-PA1036
gene-PA3250	118	199	105	54	81	52	70	49	42	80	76	53	host	gene-PA3250
gene-PA3196	243	261	277	292	603	461	186	366	320	237	358	411	host	gene-PA3196
gene-PA5117	2095	2352	1905	3156	9211	9439	7955	8376	6356	6569	8296	8285	host	typA
gene-PA1518	124	293	245	65	230	119	57	98	140	57	103	122	host	gene-PA1518
gene-PA1768	686	726	828	1495	3204	1999	1189	2140	1118	1040	1229	1718	host	gene-PA1768
gene-PA1900	1	1	0	0	1	0	0	0	0	0	0	1	host	phzB2
gene-PA1540	123	457	184	316	361	93	140	250	168	92	121	103	host	gene-PA1540
gene-PA3840	375	656	932	791	851	521	302	508	249	302	280	332	host	gene-PA3840
gene-PA0512	625	1149	3708	625	1011	1684	300	357	651	569	434	649	host	gene-PA0512
gene-PA1630	152	284	254	111	399	223	111	257	239	143	285	248	host	gene-PA1630
gene-PA1177	201	543	149	42	78	46	80	35	49	102	154	32	host	napE
gene-PA3327	3144	1266	443	1955	870	241	602	479	239	439	438	235	host	gene-PA3327
gene-PA3907	272	194	207	152	245	811	274	217	662	219	286	500	host	gene-PA3907
gene-PA4945	3382	4811	5687	4384	7548	5187	3053	5277	3824	3400	4435	4463	host	miaA
gene-PA5245	1426	2118	2101	926	1828	1160	533	947	935	690	995	951	host	gene-PA5245
gene-PA3784	533	812	667	407	616	424	182	331	379	198	269	406	host	gene-PA3784
gene-PA4116	277	524	866	403	694	520	200	472	474	155	256	343	host	bphO
gene-PA1662	1996	992	669	1575	780	359	1932	666	585	1154	1052	276	host	gene-PA1662
gene-PA2366	179	328	150	100	96	51	61	70	66	129	115	67	host	gene-PA2366
gene-PA1743	53	153	123	41	42	18	12	43	78	14	49	26	host	gene-PA1743
gene-PA3105	775	1665	994	683	1201	773	359	739	1027	340	622	724	host	xcpQ
gene-PA5166	759	1465	1025	731	1398	845	428	955	688	453	789	643	host	gene-PA5166
gene-PA5316	10458	8716	7089	15809	40123	28498	20076	26969	12506	22782	25472	26941	host	rpmB
gene-PA3969a	486	606	700	424	854	610	323	496	437	330	468	592	host	gene-PA3969a
gene-PA1157	323	469	279	337	744	564	302	441	361	355	388	445	host	gene-PA1157
gene-PA0190	62	195	61	46	99	53	42	36	55	37	62	59	host	gene-PA0190
gene-PA0694	9	11	14	6	13	9	5	7	3	3	9	2	host	exbD2
gene-PA3098	157	339	248	235	528	281	149	336	210	146	291	358	host	xcpW
gene-PA5212	654	1381	1066	292	1026	316	223	309	218	280	320	315	host	gene-PA5212
gene-PA0728	60	180	172	46	124	72	50	66	77	38	55	62	host	gene-PA0728
gene-PA5017	1549	4114	3951	1456	2590	1203	854	1377	1414	946	1384	1046	host	gene-PA5017
gene-PA4331	383	618	462	232	404	387	189	281	458	178	322	337	host	gene-PA4331
gene-PA4274	20571	12041	21279	26335	46108	39997	41382	35724	42193	40613	46266	41537	host	rplK
gene-PA1397	212	193	147	220	410	264	192	356	264	204	260	304	host	gene-PA1397
gene-PA3916	316	632	669	312	604	366	543	301	340	1099	1550	505	host	moaE
gene-PA4594	82	139	184	62	118	140	57	75	154	83	88	116	host	gene-PA4594
gene-PA5187	172	511	330	170	401	215	120	287	254	152	243	254	host	gene-PA5187
gene-PA3453	232	229	346	243	758	598	204	394	380	289	363	444	host	gene-PA3453
gene-PA1756	415	545	400	368	853	563	335	542	331	424	645	472	host	cysH
gene-PA5325	73	149	121	59	87	71	54	73	47	36	42	54	host	gene-PA5325
gene-PA2978	683	830	473	702	1701	1365	770	1442	881	679	1014	1150	host	ptpA
gene-PA5107	985	1423	1415	1009	2470	1147	578	1010	709	589	818	1147	host	blc
gene-PA1356	59	105	43	38	71	24	24	27	28	28	33	30	host	gene-PA1356
gene-PA1919	0	0	0	0	0	0	0	0	0	0	1	0	host	nrdG
gene-PA0154	127	257	184	93	147	101	61	116	159	66	127	146	host	pcaG
gene-PA4968	406	833	942	590	1542	1003	442	1131	1025	382	735	914	host	gene-PA4968
gene-PA4880	518	1346	1607	393	936	434	203	352	251	254	345	280	host	gene-PA4880
gene-PA2809	108	285	108	92	222	118	60	124	106	113	124	84	host	copR
gene-PA4622	111	115	136	106	173	134	108	133	173	99	93	140	host	gene-PA4622
gene-PA2751	249	291	205	185	213	59	101	104	74	113	124	98	host	gene-PA2751
gene-PA2867	4801	9600	5886	1469	2213	1137	1073	1128	1648	1898	2333	1338	host	gene-PA2867
gene-PA4893	151	123	203	158	187	115	37	64	46	36	54	32	host	ureG
gene-PA1446	626	937	707	860	1184	817	448	854	626	542	676	617	host	fliP
gene-PA0193	28	45	49	32	45	28	13	25	24	19	27	21	host	gene-PA0193
gene-PA1815	595	1493	888	738	1916	1271	644	1218	817	543	829	913	host	rnhA
gene-PA1113	304	482	330	288	592	277	193	373	272	169	262	238	host	gene-PA1113
gene-PA2179	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2179
gene-PA1672	331	1240	539	197	353	209	139	199	214	185	265	196	host	gene-PA1672
gene-PA0168	271	337	351	116	324	325	118	216	329	191	255	276	host	gene-PA0168
gene-PA0243	174	267	257	182	408	269	122	260	207	139	203	236	host	gene-PA0243
gene-PA3694	677	503	660	727	1014	862	436	578	413	523	465	455	host	gene-PA3694
gene-PA4108	414	2659	1681	122	270	115	105	170	310	148	307	196	host	gene-PA4108
gene-PA3807	6332	4612	4435	7254	15362	15044	10226	11634	11925	10993	12395	15563	host	ndk
gene-PA3853	241	402	305	312	763	510	235	513	373	248	298	436	host	gene-PA3853
gene-PA1351	25	85	35	32	82	12	16	44	19	9	16	17	host	gene-PA1351
gene-PA1218	44	76	53	22	48	35	13	32	32	25	39	40	host	gene-PA1218
gene-PA4679	590	606	655	755	1377	1075	597	822	643	608	625	790	host	gene-PA4679
gene-PA4225	181	343	266	112	212	142	76	128	133	125	157	204	host	pchF
gene-PA2315	38	59	33	24	27	21	9	16	13	16	20	12	host	gene-PA2315
gene-PA3029	530	991	831	377	1191	777	315	671	829	396	662	836	host	moaB2
gene-PA5269	491	1272	1313	315	667	377	219	420	469	238	539	310	host	gene-PA5269
gene-PA1952	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA1952
gene-PA1422	226	297	225	294	710	371	207	434	220	254	305	378	host	gbuR
gene-PA0122	486	905	367	251	360	132	141	166	158	188	207	189	host	gene-PA0122
gene-PA0410	2434	5434	3309	2557	3312	1111	1233	3290	1843	1354	1943	2256	host	pilI
gene-PA4495	1765	3567	2924	1310	4573	2526	982	2491	1474	1123	2578	1398	host	gene-PA4495
gene-PA3069	905	839	996	752	714	311	320	283	311	285	307	387	host	gene-PA3069
gene-PA2135	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2135
gene-PA4662	511	462	492	466	765	1289	648	1082	975	652	986	935	host	murI
gene-PA3454	143	602	427	269	789	533	116	225	337	103	126	102	host	gene-PA3454
gene-PA3074	366	718	354	366	1004	539	277	542	438	289	438	465	host	gene-PA3074
gene-PA3210	215	242	349	327	868	641	334	473	352	372	395	580	host	trkH
gene-PA4610	804	2056	3045	247	340	192	255	370	381	573	758	419	host	gene-PA4610
gene-PA0634	853	608	2327	503	510	1677	349	305	1512	336	397	1758	host	gene-PA0634
gene-PA1844	43	40	37	23	27	91	35	25	97	43	59	92	host	gene-PA1844
gene-PA2345	192	381	266	150	264	172	92	171	169	112	171	145	host	gene-PA2345
gene-PA2603.1	55	54	54	91	198	141	71	214	68	87	116	112	host	gene-PA2603.1
gene-PA3262.2	1014	1069	2426	1515	2725	3120	813	3479	1364	1287	1581	1859	host	gene-PA3262.2
gene-PA4277.3	2642	3401	5474	4406	8461	9158	4345	9890	3450	4654	5033	6072	host	gene-PA4277.3
gene-PA4792	326	957	523	255	463	224	129	231	228	150	269	232	host	gene-PA4792
gene-PA0132	144	484	305	104	371	113	66	191	118	105	211	162	host	gene-PA0132
gene-PA3558	46	46	149	37	53	79	37	44	84	63	42	133	host	arnF
gene-PA2001	0	0	0	0	0	0	0	0	0	0	0	0	host	atoB
gene-PA3155	4359	6564	4224	4219	8217	5210	3456	7215	3976	3327	5842	4776	host	wbpE
gene-PA2793	319	290	323	450	834	893	433	647	621	439	517	836	host	gene-PA2793
gene-PA0806	54	113	58	34	60	67	15	36	67	39	26	60	host	gene-PA0806
gene-PA0295	1148	2236	1578	387	840	246	292	403	620	457	802	406	host	gene-PA0295
gene-PA2592	875	798	487	526	739	364	477	416	255	490	515	299	host	gene-PA2592
gene-PA5270	816	1681	1557	565	1275	596	345	748	830	359	714	478	host	gene-PA5270
gene-PA4405	414	620	682	651	1379	1027	492	1051	682	581	679	854	host	gene-PA4405
gene-PA2608	271	558	400	335	594	364	258	422	424	194	370	322	host	gene-PA2608
gene-PA1312	143	293	231	100	224	110	76	124	114	73	135	117	host	gene-PA1312
gene-PA4755	3651	2874	2742	2893	3926	4089	3575	4540	4286	3207	5013	4370	host	greA
gene-PA0096	106	182	202	101	75	124	81	82	162	98	142	254	host	gene-PA0096
gene-PA2066	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2066
gene-PA2564	114	351	162	104	174	71	52	93	71	77	95	68	host	gene-PA2564
gene-PA3035	46	78	66	31	50	35	19	23	52	18	36	54	host	gene-PA3035
gene-PA1852	780	1250	1358	391	1518	1080	664	650	626	1411	1192	606	host	gene-PA1852
gene-PA3818	1012	1507	1612	3630	7364	4979	2923	3757	1509	2897	2361	3486	host	gene-PA3818
gene-PA3420	94	229	122	62	288	276	51	120	246	53	95	60	host	gene-PA3420
gene-PA3894	417	442	182	875	1500	217	696	896	229	651	711	405	host	gene-PA3894
gene-PA3450	164	161	229	97	203	190	99	158	167	100	209	178	host	gene-PA3450
gene-PA1065	162	559	267	79	318	104	63	105	68	72	116	59	host	gene-PA1065
gene-PA1171	693	890	738	434	1084	799	411	568	957	517	790	910	host	gene-PA1171
gene-PA3351	4024	9988	10557	3144	5207	2652	2476	2518	2435	3227	3941	2855	host	flgM
gene-PA1979	0	0	0	0	0	0	0	0	0	0	0	0	host	eraS
gene-PA2914	221	394	191	193	243	142	141	247	165	110	229	106	host	gene-PA2914
gene-PA0251	47	114	95	51	79	41	19	64	154	27	53	35	host	gene-PA0251
gene-PA0916	421	688	503	880	3187	2639	1703	1918	1011	1941	1619	2369	host	gene-PA0916
gene-PA2167	0	0	1	0	0	0	0	0	0	0	0	0	host	gene-PA2167
gene-PA1721	58	97	134	36	52	89	34	50	191	38	52	159	host	pscH
gene-PA4206	127	119	135	65	173	114	56	117	247	66	99	118	host	mexH
gene-PA5221	1659	2051	1318	1516	2326	1692	972	1431	998	766	1069	890	host	gene-PA5221
gene-PA2044	0	0	0	0	0	0	0	0	0	0	0	1	host	gene-PA2044
gene-PA5131	2020	2327	2151	1711	6388	4105	1744	3533	6398	2102	3102	3449	host	pgm
gene-PA4716	506	872	660	396	915	500	288	509	658	309	490	538	host	gene-PA4716
gene-PA3206	244	843	662	324	771	335	260	624	422	268	729	322	host	gene-PA3206
gene-PA3501	17	34	27	13	48	12	7	24	15	8	23	21	host	gene-PA3501
gene-PA2181	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2181
gene-PA5423	568	1210	847	559	1058	502	384	470	478	349	451	571	host	gene-PA5423
gene-PA3297	2160	3049	2073	2068	4720	4026	2010	3650	3141	2250	3240	3233	host	gene-PA3297
gene-PA0955	1359	1486	1192	1304	3774	2922	1592	2267	1996	1539	2022	2455	host	gene-PA0955
gene-PA0664	798	946	806	697	1633	1017	850	1454	1029	770	1145	1232	host	gene-PA0664
gene-PA1706	95	118	196	54	101	213	45	53	194	48	56	140	host	pcrV
gene-PA2612	2011	2527	2231	2456	3944	3130	1954	2897	2206	1823	2648	2993	host	serS
gene-PA0157	318	453	343	172	475	327	155	261	306	217	263	418	host	gene-PA0157
gene-PA3601	99	261	199	85	166	99	119	140	107	79	146	142	host	gene-PA3601
gene-PA4705	261	322	278	158	365	242	147	190	202	172	267	242	host	gene-PA4705
gene-PA1043	419	580	326	258	911	552	224	423	355	290	424	442	host	gene-PA1043
gene-PA0440	109	270	141	61	146	55	43	54	50	57	76	55	host	gene-PA0440
gene-PA0546	4293	2308	2330	4239	4975	1986	7928	7085	3202	7749	14058	9974	host	metK
gene-PA5471	648	835	887	891	2206	788	559	863	550	594	679	654	host	gene-PA5471
gene-PA4930	653	954	596	590	1319	1052	585	956	742	646	891	826	host	alr
gene-PA4121	310	493	24	664	1278	27	213	285	24	135	108	23	host	gene-PA4121
gene-PA4667	2110	2719	3231	1931	4398	2813	1622	2722	2913	1496	2510	2535	host	gene-PA4667
gene-PA0002	4487	8366	6152	4377	8703	5079	3498	5305	5636	4590	4656	6045	host	dnaN
gene-PA1817	483	1062	795	402	865	517	287	507	336	281	483	334	host	gene-PA1817
gene-PA1631	83	214	178	81	214	95	52	130	111	66	161	113	host	gene-PA1631
gene-PA1702	14	48	35	14	21	64	9	6	61	12	11	37	host	gene-PA1702
gene-PA0460	1351	3392	2799	1307	2789	1141	479	847	668	579	636	977	host	gene-PA0460
gene-PA2395	41	87	90	39	43	28	21	25	36	28	24	27	host	pvdO
gene-PA3434	207	374	322	166	482	290	119	288	206	146	226	224	host	gene-PA3434
gene-PA1071	128	387	280	197	361	209	88	114	518	77	147	440	host	braF
gene-PA0862	709	1869	1758	322	917	439	269	359	648	323	708	450	host	gene-PA0862
gene-PA5281	370	504	346	183	481	369	205	383	393	200	370	273	host	gene-PA5281
gene-PA5006	1184	2758	1792	1178	3501	1560	1305	2499	1969	1170	2243	1721	host	gene-PA5006
gene-PA1691	43	63	44	34	35	35	19	21	91	28	40	46	host	pscT
gene-PA3185	1302	1749	1579	877	1458	1030	862	1193	1136	925	1216	1217	host	gene-PA3185
gene-PA2576	211	519	447	135	381	71	87	302	96	88	176	85	host	gene-PA2576
gene-PA4565	2971	4629	2915	2283	4568	3442	2398	3353	2747	2979	3352	2960	host	proB
gene-PA4802.1	42	55	100	34	48	39	16	32	39	23	28	36	host	gene-PA4802.1
gene-PA5227	1214	2846	2747	706	1880	1002	518	850	1145	598	1109	917	host	gene-PA5227
gene-PA4329	4819	8493	5396	2311	4584	3569	1826	2795	3564	2349	3171	3177	host	pykA
gene-PA4843	6886	15613	11927	4464	8567	4060	3618	4817	4037	3936	7155	3413	host	gene-PA4843
gene-PA2537	340	304	305	393	512	312	317	287	430	275	355	538	host	gene-PA2537
gene-PA0278	68	155	91	74	112	49	53	79	77	53	72	65	host	gene-PA0278
gene-PA4937	5280	15465	13836	7926	17856	11536	4743	9663	7858	3481	6950	6390	host	rnr
gene-PA2009	0	0	0	0	0	0	0	0	0	0	0	0	host	hmgA
gene-PA4751	10634	36623	18269	15103	36821	8858	7322	21468	20087	6337	13446	8879	host	ftsH
gene-PA2989	248	494	351	219	395	289	178	283	265	199	266	263	host	gene-PA2989
gene-PA4756	11588	9690	8620	12030	20928	17414	12549	16773	14418	10589	16924	14384	host	carB
gene-PA0617	647	462	1249	403	388	1202	312	250	1252	299	332	1372	host	gene-PA0617
gene-PA0749	184	283	212	130	334	313	147	210	231	156	210	280	host	gene-PA0749
gene-PA0885	21	47	40	26	23	20	13	19	18	13	22	11	host	gene-PA0885
gene-PA1638	145	182	137	150	415	292	114	338	218	157	194	267	host	gene-PA1638
gene-PA2250	541	6258	1185	1556	7329	1114	583	1908	253	387	591	223	host	lpdV
gene-PA2033	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2033
gene-PA0796	1081	939	437	722	3316	474	541	1274	603	523	741	532	host	prpB
gene-PA4575	241	893	626	152	301	172	94	202	156	161	223	159	host	gene-PA4575
gene-PA3621.1	80	129	87	118	144	83	60	115	57	56	107	98	host	rsmZ
gene-PA1709	215	229	673	149	177	358	111	136	419	100	113	428	host	popD
gene-PA1246	322	909	339	244	760	211	87	280	150	107	160	183	host	aprD
gene-PA1725	65	76	85	48	77	96	53	53	145	62	60	146	host	pscL
gene-PA1962	0	0	0	0	0	0	0	0	0	0	0	0	host	azoR2
gene-PA0701a	137	242	239	68	207	125	54	114	132	79	110	121	host	gene-PA0701a
gene-PA3140	81	186	116	95	178	126	64	151	94	73	98	78	host	gene-PA3140
gene-PA4239	20671	16243	18925	21390	49757	41704	35041	39041	38249	37799	48100	41017	host	rpsD
gene-PA3666	1415	1622	1311	1130	3191	2602	1275	1888	2132	1224	1524	2692	host	dapD
gene-PA2173	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2173
gene-PA5111	484	877	865	357	491	446	276	288	512	379	402	588	host	gloA3
gene-PA1724	49	70	110	45	51	59	35	56	168	64	64	151	host	pscK
gene-PA3148	3202	2912	2397	3606	4189	2415	3206	3747	2422	2796	4703	4075	host	wbpI
gene-PA4674	189	1105	778	99	191	126	93	95	156	133	132	153	host	gene-PA4674
gene-PA5167	690	739	606	479	810	1151	371	624	1959	353	598	948	host	gene-PA5167
gene-PA0987	48	109	94	53	98	38	28	85	57	45	55	37	host	gene-PA0987
gene-PA1027	199	590	267	112	229	114	85	121	119	113	170	108	host	gene-PA1027
gene-PA1203	154	270	277	92	245	177	62	136	193	80	131	169	host	gene-PA1203
gene-PA4182	517	5936	327	2292	7199	155	572	3016	462	383	681	149	host	gene-PA4182
gene-PA5354	40	84	42	32	58	13	16	19	18	25	15	18	host	glcE
gene-PA1797	417	439	267	372	617	392	293	307	254	323	325	398	host	gene-PA1797
gene-PA3953	47	70	91	43	63	25	25	35	56	27	41	37	host	gene-PA3953
gene-PA0547	1882	1265	1020	1618	1665	1285	4560	6293	2608	3959	7453	5692	host	gene-PA0547
gene-PA2516	20	23	28	10	27	11	10	13	14	5	8	6	host	xylZ
gene-PA2806	331	602	469	662	1370	668	499	878	456	424	511	646	host	gene-PA2806
gene-PA1522	188	445	391	216	399	207	120	226	194	154	238	284	host	gene-PA1522
gene-PA4740	12970	9324	16786	13882	25336	22934	24506	24871	29774	20079	36320	28752	host	pnp
gene-PA3092	381	626	264	251	637	392	381	1150	935	378	1013	1200	host	fadH1
gene-PA1967	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA1967
gene-PA4110	122	169	164	85	186	97	54	98	99	73	106	83	host	ampC
gene-PA3403	56	120	114	52	110	124	51	82	89	72	105	97	host	gene-PA3403
gene-PA5501	391	1002	953	613	967	591	255	572	422	208	317	429	host	znuB
gene-PA2149	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2149
gene-PA4030	539	763	592	646	1615	1099	525	1159	741	613	849	900	host	gene-PA4030
gene-PA2282	85	128	70	186	151	236	341	277	247	231	183	721	host	gene-PA2282
gene-PA5363	695	935	1019	587	1205	661	510	1315	1064	556	1066	1081	host	gene-PA5363
gene-PA3988	1970	1958	1923	1237	3096	2815	1835	2123	2411	1649	2422	2786	host	gene-PA3988
gene-PA1359	147	202	192	124	331	222	121	239	148	172	183	207	host	gene-PA1359
gene-PA2805	1785	4609	5620	1498	2929	1372	511	1039	887	671	988	610	host	gene-PA2805
gene-PA1095	3001	7111	11599	2465	5342	3050	1854	2282	1571	2173	2580	2026	host	gene-PA1095
gene-PA0905.1	1341	4432	3109	1854	3643	2198	1180	2865	1068	1715	1937	2133	host	gene-PA0905.1
gene-PA3096	285	495	353	261	633	412	222	493	330	236	476	637	host	xcpY
gene-PA1089	471	1201	1194	505	1032	1004	389	744	545	338	458	575	host	gene-PA1089
gene-PA4902	98	283	147	54	132	79	44	79	113	54	88	62	host	gene-PA4902
gene-PA1272	634	547	377	383	1078	718	499	792	641	577	969	830	host	cobO
gene-PA1999	0	0	0	0	0	0	0	0	0	1	0	0	host	dhcA
gene-PA1412	60	127	58	36	72	26	24	40	47	47	48	33	host	gene-PA1412
gene-PA3593	66	118	73	46	85	56	35	47	71	51	65	67	host	gene-PA3593
gene-PA4034	73	156	136	68	136	80	67	131	97	51	96	154	host	aqpZ
gene-PA3815	1065	1115	1294	1962	3767	2547	1578	2435	1508	1631	1789	2375	host	iscR
gene-PA2891	87	262	90	58	249	34	51	137	46	50	80	75	host	atuF
gene-PA5352	17	38	28	10	27	10	7	11	14	8	7	10	host	gene-PA5352
gene-PA1410	61	80	32	33	67	25	21	43	49	26	53	23	host	gene-PA1410
gene-PA0057	60	97	58	65	147	52	49	78	52	51	54	45	host	gene-PA0057
