Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	Entity	Symbol
gene-VC_RS12880	1010	1014	1281	1437	1111	1004	761	1822	1617	1671	host	hslU
gene-VC_RS03775	839	895	961	946	877	754	941	1635	1503	1607	host	fdx
gene-VC_RS06530	1453	1820	1624	1849	3422	3744	3538	5096	4815	5350	host	gene-VC_RS06530
gene-VC_RS01705	9012	6576	6295	5395	4747	5738	7447	4622	3755	4338	host	gene-VC_RS01705
gene-VC_RS15335	260	308	254	229	545	481	704	1327	1992	1297	host	gene-VC_RS15335
gene-VC_RS03885	366	474	687	713	880	777	743	838	755	640	host	vibH
gene-VC_RS07470	334	408	441	543	469	425	412	704	630	587	host	gene-VC_RS07470
gene-VC_RS05895	106	91	100	75	101	119	105	152	167	161	host	hutG
gene-VC_RS13060	288	299	319	326	474	500	428	586	578	524	host	envZ
gene-VC_RS03705	213	214	205	273	166	158	168	264	279	212	host	gene-VC_RS03705
gene-VC_RS00045	2382	2144	2047	2164	791	662	776	778	763	654	host	gene-VC_RS00045
gene-VC_RS13170	560	655	648	723	701	771	632	802	800	744	host	gspC
gene-VC_RS06710	2288	2815	2690	2921	1750	1745	1612	1336	1224	1116	host	gene-VC_RS06710
gene-VC_RS13565	253	267	258	261	422	418	422	766	848	769	host	gene-VC_RS13565
gene-VC_RS14275	1218	1497	1270	1270	3020	3101	3036	5972	7021	5511	host	gene-VC_RS14275
gene-VC_RS14505	12	8	17	10	24	22	26	93	87	103	host	gene-VC_RS14505
gene-VC_RS15580	583	836	782	725	2077	2027	2195	4554	4650	4483	host	gene-VC_RS15580
gene-VC_RS18100	73	62	98	78	86	78	101	142	157	116	host	gene-VC_RS18100
gene-VPVV882_gp23	3668	5795	711	915	34073	43030	45168	53964	47977	55122	phage	gene-VPVV882_gp23
gene-VC_RS13610	1886	1869	2088	1867	1794	1699	1842	1779	1705	1493	host	gene-VC_RS13610
gene-VC_RS10785	1298	1370	1413	1303	1845	1756	2032	2158	2069	1893	host	gene-VC_RS10785
gene-VC_RS02175	1577	1637	1629	1540	2047	1766	1953	1839	2147	1417	host	argR
gene-VC_RS14395	51	63	42	64	90	100	107	142	139	131	host	gene-VC_RS14395
gene-VC_RS12645	233	272	268	244	233	179	190	328	274	295	host	gene-VC_RS12645
gene-VC_RS01690	12814	11559	10351	9806	7808	7497	10281	7133	7141	6625	host	gene-VC_RS01690
gene-VC_RS00910	569	661	595	574	1913	1732	1969	2779	3187	3129	host	gene-VC_RS00910
gene-VC_RS15735	572	615	562	518	767	673	869	1538	1709	1554	host	gene-VC_RS15735
gene-VC_RS18145	142	175	158	145	293	304	247	430	417	421	host	gene-VC_RS18145
gene-VC_RS09590	271	315	303	303	484	514	493	1162	1235	1157	host	gene-VC_RS09590
gene-VC_RS06355	1760	1822	1721	1834	2276	2518	2417	2481	1924	2084	host	gene-VC_RS06355
gene-VC_RS15570	198	325	236	177	723	661	837	1766	2817	1748	host	gene-VC_RS15570
gene-VPVV882_gp15	2722	5461	759	1069	33823	41210	39955	58096	54422	62514	phage	gene-VPVV882_gp15
gene-VC_RS11215	2452	2101	2011	2300	1223	1071	1166	1214	1256	1054	host	dapD
gene-VC_RS14105	1372	1467	1440	1358	1080	1117	1024	1197	1266	1101	host	mbhE
gene-VC_RS03870	310	362	352	340	682	646	587	1123	1180	935	host	gene-VC_RS03870
gene-VC_RS08630	240	297	301	315	609	552	605	881	1090	935	host	gene-VC_RS08630
gene-VC_RS10450	995	997	835	932	940	880	1001	1081	1038	1034	host	gene-VC_RS10450
gene-VC_RS11705	2418	2604	2206	2306	2306	2543	2490	3756	3712	3387	host	parC
gene-VC_RS02970	1240	1175	1269	1194	1808	1658	1636	2064	2364	1973	host	rsmI
gene-VC_RS01140	1348	1590	1494	1470	1118	1114	1117	1565	1783	1467	host	waaA
gene-VC_RS06480	321	398	415	384	360	397	381	846	957	822	host	gene-VC_RS06480
gene-VC_RS18415	2876	3001	3141	4929	2480	2422	2520	2457	2618	2201	host	gene-VC_RS18415
gene-VC_RS05300	2737	2418	2252	2189	4329	4181	4829	4808	4759	4194	host	gene-VC_RS05300
gene-VC_RS03005	1499	1818	1688	1723	2227	2198	2134	3032	2924	2760	host	panC
gene-VC_RS15450	255	262	305	318	581	452	633	940	1102	951	host	gene-VC_RS15450
gene-VC_RS18185	328	467	555	587	440	427	389	449	410	382	host	gene-VC_RS18185
gene-VC_RS07755	1555	1643	1717	1594	1713	1615	1847	1935	1975	1734	host	gene-VC_RS07755
gene-VPVV882_gp19	9137	14680	2148	2666	99704	115031	129570	153494	156336	151649	phage	J
gene-VC_RS07160	611	715	709	818	1401	1383	1301	1459	1381	1320	host	gene-VC_RS07160
gene-VC_RS02725	1207	1198	1298	1373	633	567	512	608	636	588	host	cysM
gene-VC_RS07595	131	137	127	162	275	209	214	356	268	263	host	gene-VC_RS07595
gene-VC_RS12190	1205	1359	1307	1352	891	651	810	873	906	752	host	lptA
gene-VC_RS14650	466	794	980	1087	455	403	319	486	430	415	host	gcvH
gene-VC_RS11975	130	137	134	160	200	184	199	289	261	236	host	gene-VC_RS11975
gene-VC_RS05985	1394	1421	1296	1393	1923	2075	1885	2153	2053	1954	host	pheS
gene-VC_RS05380	97	134	117	116	188	206	200	302	352	299	host	gene-VC_RS05380
gene-VC_RS07485	1071	1403	1599	1819	1616	1658	1588	2159	1735	1922	host	gene-VC_RS07485
gene-VC_RS09370	116	143	134	143	321	322	339	412	442	378	host	gene-VC_RS09370
gene-VC_RS02395	344	365	413	467	418	433	376	743	654	725	host	gene-VC_RS02395
gene-VC_RS01025	933	1358	1438	1543	1511	1866	1496	1541	1351	1384	host	rph
gene-VC_RS12245	2846	2489	2289	2429	2638	3409	2881	3376	3623	3148	host	thiP
gene-VC_RS15220	218	216	252	251	357	290	326	541	532	474	host	gene-VC_RS15220
gene-VC_RS06100	196	173	232	214	212	191	178	307	334	246	host	gene-VC_RS06100
gene-VC_RS07075	24	27	38	30	41	41	24	50	49	63	host	gene-VC_RS07075
gene-VC_RS05825	760	717	805	755	950	949	1050	684	599	522	host	gene-VC_RS05825
gene-VC_RS03435	647	709	644	729	1218	1292	1216	1586	1501	1604	host	murJ
gene-VC_RS04910	882	916	901	1001	881	791	954	1005	952	881	host	gene-VC_RS04910_gene_nagA
gene-VC_RS01675	1367	1529	1526	1598	2078	2066	2168	2338	2183	2036	host	rsgA
gene-VC_RS07150	462	503	455	484	900	851	894	1435	1496	1354	host	gene-VC_RS07150
gene-VC_RS17855	194	253	310	359	436	421	377	686	553	747	host	ppiC
gene-VC_RS03820	1448	1974	1758	1996	2237	2487	2097	3195	2626	2955	host	bamB
gene-VC_RS03900	208	255	359	374	407	367	299	373	363	288	host	gene-VC_RS03900
gene-VC_RS04760	2633	2384	2139	2204	4405	4548	4863	5894	5585	5192	host	gene-VC_RS04760
gene-VC_RS18805	18	14	30	26	46	37	28	61	69	56	host	gene-VC_RS18805
gene-VC_RS09825	4268	3656	4020	3796	3843	4478	3688	2718	1758	2168	host	gene-VC_RS09825
gene-VC_RS04520	452	444	618	511	1382	1640	1634	1074	1921	999	host	gene-VC_RS04520
gene-VC_RS10515	4425	4106	4272	4004	2638	2770	2862	1862	1557	1437	host	gene-VC_RS10515
gene-VC_RS06625	1358	1388	1438	1436	1824	1606	1727	2149	2304	1869	host	gene-VC_RS06625
gene-VC_RS02815	1581	1272	1342	1243	1571	2616	1935	1200	760	1032	host	gene-VC_RS02815
gene-VC_RS11060	6105	6415	6270	6106	2740	2778	2866	3064	2849	2819	host	nqrF
gene-VC_RS05970	1053	889	1063	838	1200	1949	1140	677	696	588	host	gene-VC_RS05970
gene-VC_RS07375	238	236	232	240	364	318	316	419	398	382	host	gene-VC_RS07375
gene-VC_RS11490	1861	1730	1927	1705	1332	1051	1288	1305	1496	1121	host	gene-VC_RS11490
gene-VC_RS08600	119	151	145	163	218	218	218	306	345	352	host	gene-VC_RS08600
gene-VC_RS03345	2354	2491	2283	2331	4405	4676	4455	5151	5119	4519	host	srmB
gene-VC_RS06975	1720	1798	2024	1827	779	671	807	875	900	760	host	ccoO
gene-VC_RS12230	1052	1178	1396	1197	1566	1587	2657	1583	1392	1372	host	pmbA
gene-VC_RS08100	162	179	133	171	224	223	249	463	415	440	host	gene-VC_RS08100
gene-VC_RS12705	859	800	844	745	923	805	914	714	574	620	host	pilM
gene-VC_RS01005	60	86	69	71	106	122	107	218	200	154	host	murQ
gene-VC_RS00630	632	1080	644	672	701	630	722	838	847	769	host	rhtB
gene-VC_RS16675	3876	4984	5874	5668	965	1002	720	444	375	350	host	gene-VC_RS16675
gene-VC_RS03430	22898	18382	19757	16666	11188	12726	12493	11447	7273	10189	host	rpsT
gene-VC_RS16560	555	585	558	553	892	722	858	1015	1127	879	host	dcuC
gene-VC_RS01210	3160	2745	4058	3213	2264	1800	2065	2140	2227	1998	host	gene-VC_RS01210
gene-VC_RS16230	789	786	670	735	720	592	711	883	1012	849	host	gene-VC_RS16230
gene-VC_RS03715	984	1093	1146	1196	1627	1672	1509	1790	1637	1669	host	tgt
gene-VC_RS18810	1096	1063	866	1083	852	787	927	894	1093	804	host	gene-VC_RS18810
gene-VC_RS18075	196	178	210	195	257	309	237	389	372	352	host	gene-VC_RS18075
gene-VC_RS01440	1466	1495	1364	1551	492	386	440	519	535	470	host	acs
gene-VC_RS05120	183	208	217	196	236	237	235	289	285	312	host	gene-VC_RS05120
gene-VC_RS02820	884	881	989	978	905	855	835	791	953	740	host	gene-VC_RS02820
gene-VC_RS08015	1583	1487	1658	1633	636	628	559	1111	1306	1016	host	gene-VC_RS08015
gene-VC_RS10685	786	952	1336	1428	1063	860	892	872	735	691	host	gene-VC_RS10685
gene-VC_RS04050	2610	2725	2711	2598	3086	2800	3245	3910	3935	3501	host	gene-VC_RS04050
gene-VC_RS12840	247	281	264	305	461	482	400	621	576	584	host	gene-VC_RS12840
gene-VC_RS05780	1256	1357	1270	1254	1534	1569	1499	2411	2347	2189	host	cydC
gene-VC_RS16510	258	244	210	232	247	288	259	352	336	327	host	gene-VC_RS16510
gene-VC_RS17395	39	54	39	50	111	91	100	144	163	130	host	gene-VC_RS17395
gene-VC_RS13790	189	157	175	181	271	272	301	339	388	337	host	gene-VC_RS13790
gene-VC_RS09810	1485	1617	1666	1626	1597	1257	1592	1702	1869	1531	host	yejK
gene-VC_RS04240	308	318	290	346	491	536	476	564	741	512	host	gene-VC_RS04240
gene-VC_RS06115	152	220	210	253	328	300	290	476	441	482	host	gene-VC_RS06115
gene-VC_RS17315	772	839	724	781	1194	921	1293	1636	1412	1438	host	gene-VC_RS17315
gene-VC_RS13930	270	329	304	309	209	177	168	315	320	306	host	vasH
gene-VC_RS11180	934	1171	1029	1026	3910	4344	3584	4725	5470	4360	host	gene-VC_RS11180
gene-VC_RS00465	642	623	650	680	843	850	816	909	945	795	host	ubiA
gene-VC_RS01150	1107	1183	1221	1129	851	720	760	1208	1361	1116	host	gene-VC_RS01150
gene-VC_RS05955	12870	12150	9395	9336	6717	3803	7457	5920	3515	4922	host	gene-VC_RS05955
gene-VC_RS05950	1850	1992	1878	1843	3333	3113	3492	4087	4056	3659	host	pgsA
gene-VC_RS01945	5750	4009	5345	4582	7621	13085	8130	5361	6493	6108	host	gene-VC_RS01945
gene-VC_RS06315	435	521	471	537	920	993	938	1318	1246	1246	host	thiD
gene-VC_RS09875	344	413	475	490	320	335	276	411	376	392	host	gene-VC_RS09875
gene-VC_RS08555	568	612	598	616	924	874	958	1152	1137	1094	host	gene-VC_RS08555
gene-VPVV882_gp32	1265	5665	413	531	14011	16883	16791	58287	57251	60885	phage	gene-VPVV882_gp32
gene-VC_RS08545	859	973	1034	952	1324	1175	1283	1823	2053	1734	host	gene-VC_RS08545
gene-VC_RS14155	1059	1151	1193	1195	1444	1483	1397	2525	3283	2338	host	gene-VC_RS14155
gene-VC_RS10125	245	282	230	262	331	374	364	494	483	445	host	gene-VC_RS10125
gene-VC_RS12200	7194	7083	6494	6302	5860	5341	6328	5515	5336	4655	host	gene-VC_RS12200
gene-VC_RS14720	455	521	558	576	988	1066	970	1345	1767	1391	host	intIA
gene-VC_RS06680	805	714	867	748	875	863	858	1353	1332	1210	host	gene-VC_RS06680
gene-VC_RS03135	128	102	97	149	142	142	151	215	210	243	host	gene-VC_RS03135
gene-VC_RS03415	283	334	293	283	619	569	658	1057	1053	973	host	gene-VC_RS03415
gene-VC_RS14805	636	636	599	567	1088	943	1382	1932	2888	1914	host	gene-VC_RS14805
gene-VC_RS04325	643	514	524	528	791	838	827	955	1194	870	host	tnpA
gene-VC_RS17975	755	885	1068	964	508	493	477	446	496	469	host	gene-VC_RS17975
gene-VC_RS01855	35956	35589	39229	32411	20723	24655	25840	20213	18845	16141	host	rplI
gene-VC_RS04005	57	64	62	59	139	112	123	235	209	218	host	citG
gene-VC_RS06080	384	444	355	354	702	673	636	1253	1438	1164	host	btuD
gene-VC_RS08735	311	302	277	227	264	201	245	287	372	253	host	gene-VC_RS08735
gene-VC_RS01275	2475	2388	2385	2296	4145	4341	4638	4694	4744	4454	host	gene-VC_RS01275
gene-VC_RS05055	238	255	202	180	438	483	441	698	701	736	host	moaC
gene-VC_RS10550	24828	23274	25035	25136	33132	37716	27361	19891	13893	15498	host	gene-VC_RS10550
gene-VC_RS12115	1403	1531	1647	1571	1661	1552	1508	1608	1530	1344	host	pyrB
gene-VC_RS02770	2192	2316	2580	2160	1696	1546	1750	1712	1457	1577	host	gene-VC_RS02770
gene-VC_RS05660	1271	1893	2267	2187	1311	1335	1047	1320	1278	1208	host	gene-VC_RS05660
gene-VC_RS08960	513	543	467	520	947	952	985	1573	1685	1487	host	gene-VC_RS08960
gene-VC_RS06450	169	210	151	239	250	265	252	428	419	470	host	gene-VC_RS06450
gene-VC_RS10035	3257	3713	4553	4255	1540	1439	1511	1612	1557	1428	host	sucD
gene-VC_RS08140	939	950	897	910	577	618	662	801	822	718	host	sapC
gene-VC_RS10650	2410	2600	2644	2519	2135	1728	2121	1978	1738	1696	host	flgA
gene-VC_RS14125	106	144	109	108	265	254	207	352	392	365	host	tnaA
gene-VC_RS15455	514	571	666	559	1127	906	1164	1598	1780	1514	host	gene-VC_RS15455
gene-VC_RS07400	421	405	456	436	501	500	574	636	610	598	host	gene-VC_RS07400
gene-VC_RS01415	8256	8454	7384	7111	16045	16624	18495	22971	21893	20473	host	dusB
gene-VC_RS05190	3051	2841	2807	2720	3051	3004	3100	4763	3933	4311	host	recR
gene-VC_RS15785	429	442	433	444	723	824	725	1113	1315	1060	host	gene-VC_RS15785_gene_tnpA
gene-VC_RS08055	758	869	778	832	1106	1080	1041	1750	1801	1634	host	gene-VC_RS08055
gene-VC_RS06065	143	171	151	205	200	223	185	357	376	307	host	gene-VC_RS06065
gene-VC_RS01500	443	574	556	647	796	766	760	913	827	795	host	fre
gene-VC_RS00255	365	407	400	476	455	494	448	666	640	635	host	aroE
gene-VC_RS01775	472	448	511	485	421	386	376	451	481	418	host	gene-VC_RS01775
gene-VC_RS05020	448	500	588	666	454	494	438	409	287	328	host	gene-VC_RS05020
gene-VC_RS09965	2239	2141	1916	1914	2596	2851	2719	2792	2471	2455	host	flhF
gene-VC_RS14700	8103	9093	8948	8684	11955	12602	12983	15781	15315	14272	host	thrS
gene-VC_RS16625	39	43	44	40	71	80	59	84	83	89	host	gene-VC_RS16625
gene-VC_RS17650	514	878	1231	1537	593	564	456	557	596	510	host	hutZ
gene-VC_RS09980	1494	1545	1488	1458	2133	2079	2080	2777	3035	2670	host	gene-VC_RS09980
gene-VC_RS17545	0	0	0	0	0	0	0	0	0	0	host	tdh
gene-VC_RS17585	1474	1398	1537	1294	1255	1132	1334	1273	1261	1011	host	gene-VC_RS17585
gene-VC_RS13895	696	641	664	607	452	423	480	608	634	536	host	tssF
gene-VC_RS11400	887	996	1170	1250	759	734	740	980	997	853	host	gene-VC_RS11400
gene-VC_RS16195	163	161	166	180	207	216	206	287	316	238	host	gene-VC_RS16195
gene-VC_RS09625	745	751	676	653	879	813	828	1026	1031	892	host	gene-VC_RS09625
gene-VC_RS18045	163	148	122	121	293	266	287	355	416	332	host	ctlX
gene-VC_RS12690	52	62	64	54	103	115	101	174	242	193	host	gene-VC_RS12690
gene-VC_RS02390	324	311	312	354	312	296	284	595	582	552	host	ruvX
gene-VC_RS10355	964	994	904	886	1082	1083	1150	1420	1518	1350	host	gene-VC_RS10355
gene-VC_RS16115	1177	1382	1461	1367	949	948	998	1162	1027	1005	host	vxrB
gene-VC_RS09440	300	310	348	346	392	366	416	452	472	405	host	gene-VC_RS09440
gene-VC_RS08970	1185	1411	1327	1323	2487	2442	2515	4124	4118	3937	host	gene-VC_RS08970
gene-VC_RS12380	1973	2253	2154	2140	2672	2568	2540	3903	4313	3438	host	gene-VC_RS12380
gene-VC_RS03735	12681	13326	11169	11294	30245	28253	33315	34666	31589	29935	host	suhB
gene-VC_RS13775	247	274	225	228	442	500	466	752	716	730	host	gene-VC_RS13775
gene-VC_RS02570	168	179	183	239	281	302	271	245	323	242	host	gene-VC_RS02570
gene-VC_RS16690	472	589	570	578	1000	1011	1006	1746	1918	1736	host	gene-VC_RS16690_gene_secD
gene-VC_RS18530	155	141	151	136	231	232	213	374	365	320	host	gene-VC_RS18530
gene-VC_RS16060	78	113	80	85	174	160	172	251	272	244	host	gene-VC_RS16060
gene-VC_RS13920	102	114	108	102	78	80	67	96	83	96	host	icmH
gene-VC_RS08125	374	423	398	354	567	522	557	696	780	567	host	pspF
gene-VC_RS09745	3624	4039	4753	4089	4466	6146	4555	5460	5851	5091	host	plsX
gene-VC_RS02170	1055	987	1036	1119	1103	1201	953	1031	921	980	host	gene-VC_RS02170
gene-VC_RS03200	62336	68958	79511	64463	14716	10667	13574	10378	9569	7675	host	ompU
gene-VC_RS17635	153	190	175	156	242	248	201	374	346	305	host	gene-VC_RS17635
gene-VC_RS16155	980	1043	1092	1094	1010	887	971	1193	1321	1133	host	gene-VC_RS16155
gene-VC_RS09880	396	451	522	526	453	390	426	515	538	511	host	gene-VC_RS09880
gene-VC_RS17670	440	538	603	692	610	571	614	759	638	687	host	gene-VC_RS17670
gene-VC_RS01790	2378	2483	2590	2265	1801	1565	1849	1928	1949	1721	host	gene-VC_RS01790
gene-VC_RS15400	361	519	516	433	866	743	825	1711	1878	1714	host	gene-VC_RS15400
gene-VC_RS08065	275	313	272	274	560	485	519	817	796	620	host	gene-VC_RS08065
gene-VC_RS13210	386	419	305	354	921	873	961	1199	1128	1057	host	gene-VC_RS13210
gene-VC_RS13825	514	583	526	572	1590	1530	1540	2362	2610	2174	host	gene-VC_RS13825
gene-VC_RS17475	226	273	229	251	511	568	508	815	782	803	host	gene-VC_RS17475
gene-VC_RS00010	1140	1098	1087	1081	1728	1834	1561	1912	1820	1608	host	mnmE
gene-VC_RS14900	610	755	904	838	829	646	672	756	937	731	host	gene-VC_RS14900
gene-VC_RS15360	208	295	189	239	483	401	614	1270	1172	1187	host	gene-VC_RS15360
gene-VC_RS17075	840	1026	940	1096	1470	1486	1326	2248	1948	2190	host	gene-VC_RS17075
gene-VC_RS09215	726	916	961	970	1155	1175	1051	1688	1888	1457	host	pyrF
gene-VC_RS18210	90	102	86	98	175	149	166	271	323	285	host	gene-VC_RS18210
gene-VC_RS10860	2658	2730	2930	2560	2154	2258	2270	2571	2617	2382	host	lpxA
gene-VC_RS01000	199	192	190	188	197	190	182	307	283	254	host	gene-VC_RS01000
gene-VC_RS12385	1228	1547	1525	1048	3124	3334	3381	5490	6542	4692	host	gene-VC_RS12385
gene-VC_RS04180	828	930	842	862	1140	946	1142	1709	2156	1619	host	acfB
gene-VC_RS05150	429	628	514	566	850	874	825	2383	2495	2518	host	fadJ
gene-VC_RS14060	351	362	305	332	496	560	521	750	799	741	host	lhgO
gene-VC_RS12565	103	111	169	162	121	104	112	193	209	185	host	gene-VC_RS12565
gene-VC_RS06110	810	863	897	877	909	925	869	936	862	850	host	gene-VC_RS06110
gene-VC_RS04860	1096	1291	1283	1250	1882	1842	1959	2323	2497	2123	host	toxS
gene-VC_RS06620	1542	1763	1933	1772	1923	1840	1867	2200	2561	2091	host	gene-VC_RS06620
gene-VC_RS10835	382	458	440	513	697	759	638	842	806	813	host	tilS
gene-VC_RS13105	858	1040	1083	1231	980	1091	932	1166	1130	1085	host	nudE
gene-VC_RS13685	1064	1408	1181	1111	2119	2268	2260	6037	6118	5392	host	gene-VC_RS13685
gene-VC_RS06375	731	940	903	976	1379	1559	1201	2030	2011	1970	host	tyrR
gene-VC_RS09610	907	960	903	935	1326	1381	1357	1638	1793	1597	host	gene-VC_RS09610
gene-VC_RS09585	1628	1911	1957	1887	1896	1635	1828	2325	2356	2057	host	purU
gene-VC_RS12770	1351	1280	1104	1215	1706	1882	1989	2308	1845	1984	host	cysE
gene-VC_RS14755	260	323	332	305	350	275	280	567	546	517	host	gene-VC_RS14755
gene-VC_RS09140	320	432	480	440	583	530	520	585	545	548	host	gene-VC_RS09140
gene-VC_RS03650	940	959	970	1040	895	769	876	905	974	850	host	ppk1
gene-VC_RS18750	457	461	449	404	1085	933	1304	1808	3177	1725	host	gene-VC_RS18750
gene-VC_RS12175	1883	1810	1743	1891	2476	2377	2565	2821	3055	2504	host	kdsD
gene-VC_RS04585	65	80	107	80	134	120	124	181	194	182	host	vpsG
gene-VC_RS11715	694	685	592	690	1205	1197	1325	1527	1601	1437	host	yqiA
gene-VC_RS13630	444	492	500	505	404	323	369	540	533	527	host	gene-VC_RS13630
gene-VC_RS03555	241	270	330	324	176	126	115	123	152	136	host	hpf
gene-VC_RS09660	468	558	513	565	932	978	890	1743	1982	1756	host	pyk
gene-VC_RS13750	1062	959	930	964	1958	2292	2161	2876	2922	2575	host	gene-VC_RS13750
gene-VC_RS11040	831	795	883	880	784	769	767	754	790	686	host	gene-VC_RS11040
gene-VC_RS05250	1814	1796	1981	1619	1208	1838	1086	1455	1958	1139	host	ffs
gene-VC_RS16730	174	205	173	191	470	526	484	963	975	945	host	gene-VC_RS16730
gene-VC_RS09580	121	112	93	117	79	83	67	108	103	84	host	gene-VC_RS09580
gene-VC_RS13900	114	112	136	150	105	108	94	137	150	127	host	tssG
gene-VC_RS10160	403	499	563	585	1049	1214	960	1285	1355	1227	host	gene-VC_RS10160
gene-VC_RS18025	346	379	283	327	779	783	747	1174	1183	1043	host	gene-VC_RS18025
gene-VC_RS06295	178	186	198	163	247	277	229	480	437	424	host	gene-VC_RS06295
gene-VC_RS01725	2542	3201	2138	2375	5842	6395	6455	16110	15214	15220	host	queG
gene-VC_RS03960	84	110	79	84	200	188	225	359	355	337	host	gene-VC_RS03960
gene-VPVV882_gp57	12044	17501	12303	13311	115913	129030	129685	154263	157981	145924	phage	gene-VPVV882_gp57
gene-VC_RS10470	847	962	1038	963	1506	1508	1192	1451	1923	1253	host	lolB
gene-VC_RS01215	2513	2455	2477	2144	1597	1206	1551	1550	1580	1399	host	gene-VC_RS01215
gene-VC_RS13710	862	908	628	623	1106	1014	1059	1423	1471	1254	host	gene-VC_RS13710
gene-VC_RS12340	3293	3241	3489	3573	458	411	1405	316	315	291	host	cysD
gene-VC_RS15520	631	684	615	622	1291	1160	1394	1904	1923	1744	host	gene-VC_RS15520
gene-VC_RS13250	823	866	795	912	1660	1676	1571	2310	2651	2206	host	add
gene-VC_RS08805	138	182	154	155	305	276	251	444	463	426	host	gene-VC_RS08805
gene-VC_RS05735	1222	1212	1311	1343	733	653	729	933	915	846	host	trpB
gene-VC_RS15940	1254	1372	1574	1301	1902	2100	1948	2171	2354	1995	host	ylqF
gene-VC_RS12505	14745	16982	14824	14850	25637	24586	25627	31492	28445	27013	host	rplB
gene-VC_RS07555	138	164	172	146	301	274	304	411	442	388	host	gene-VC_RS07555
gene-VC_RS07795	861	981	912	864	727	743	785	1406	1496	1395	host	gene-VC_RS07795
gene-VC_RS14530	325	329	287	322	374	328	384	445	406	377	host	gene-VC_RS14530
gene-VC_RS17655	581	643	911	887	659	600	645	673	550	550	host	hutX
gene-VC_RS12670	4827	3825	3096	3621	4796	5222	6668	8162	7961	7660	host	gene-VC_RS12670
gene-VC_RS04830	927	1051	1145	1163	1128	1045	985	1250	1204	1050	host	gene-VC_RS04830
gene-VC_RS07590	62	76	58	74	174	160	149	286	311	308	host	gene-VC_RS07590
gene-VC_RS16410	391	400	484	484	444	377	373	481	534	414	host	gene-VC_RS16410
gene-VC_RS03010	1051	1102	967	986	1648	1518	1723	2276	2320	2096	host	panB
gene-VC_RS06230	422	369	388	356	609	723	693	792	785	714	host	gene-VC_RS06230
gene-VC_RS00410	1600	1717	1670	2425	1983	1941	2147	2085	2088	1897	host	ubiE
gene-VC_RS11650	588	637	665	666	955	910	838	1133	1022	1153	host	xerD
gene-VC_RS11025	1318	1369	1382	1258	2559	2379	2445	4051	4363	3747	host	gene-VC_RS11025
gene-VC_RS13705	112	119	140	109	242	295	253	421	332	396	host	gene-VC_RS13705
gene-VC_RS13555	1215	1317	1401	1223	1139	1069	1237	1366	1435	1182	host	gene-VC_RS13555
gene-VC_RS10080	467	480	529	521	591	654	598	753	773	711	host	gene-VC_RS10080
gene-VC_RS03600	5334	3489	3686	3434	3465	5015	4384	2713	2050	2153	host	gene-VC_RS03600
gene-VC_RS00100	385	526	546	689	592	645	509	988	1163	996	host	gene-VC_RS00100
gene-VC_RS10690	820	984	1218	1222	1821	1633	1567	1976	1692	1436	host	gene-VC_RS10690
gene-VC_RS06505	82	115	87	112	137	155	116	299	261	324	host	prpC
gene-VC_RS00820	2914	2415	3695	2638	3029	6823	3464	1696	1575	1526	host	gene-VC_RS00820
gene-VC_RS09155	2623	2579	2395	2472	2850	3072	3305	3709	3600	3490	host	gene-VC_RS09155
gene-VC_RS00455	1036	996	1003	999	1249	1345	1390	1620	1463	1464	host	lexA
gene-VC_RS02810	3497	2707	4297	2512	2614	4810	3927	2420	2096	2111	host	gene-VC_RS02810
gene-VC_RS04795	1424	1464	1516	1493	1653	1408	1715	1726	1737	1513	host	cysZ
gene-VC_RS11850	1159	1280	1234	1271	1732	2000	1721	2554	2377	2239	host	era
gene-VC_RS09070	605	755	749	723	1091	929	1050	1350	1382	1213	host	gene-VC_RS09070
gene-VC_RS03055	1894	1903	1771	1949	2279	2253	2258	3181	3003	2891	host	gene-VC_RS03055
gene-VC_RS09310	431	485	570	595	568	586	582	1027	859	1015	host	gene-VC_RS09310
gene-VC_RS02310	456	540	604	613	523	494	446	606	567	544	host	mltC
gene-VC_RS15930	723	826	774	788	1177	1345	1190	2120	2055	2016	host	clcA
gene-VC_RS11240	571	650	653	632	1025	1012	974	1212	1210	1165	host	gene-VC_RS11240
gene-VC_RS04380	631	539	647	601	468	460	464	960	1018	858	host	gene-VC_RS04380
gene-VC_RS04330	168	162	185	202	211	181	199	229	175	175	host	gene-VC_RS04330
gene-VC_RS03420	716	725	751	758	920	792	908	1164	1251	1134	host	nhaR
gene-VC_RS03995	48	54	57	65	93	106	77	169	179	164	host	citF
gene-VC_RS13100	1206	1437	1516	1582	1500	1618	1398	1852	1568	1608	host	nfuA
gene-VC_RS04825	2277	1941	2189	1962	1466	1413	1531	1545	1585	1309	host	gene-VC_RS04825
gene-VC_RS08620	56	72	71	60	165	205	161	262	328	268	host	radC
gene-VC_RS01915	413	348	380	419	337	356	344	291	210	293	host	gene-VC_RS01915
gene-VC_RS13545	535	525	533	534	571	534	568	677	774	638	host	gene-VC_RS13545
gene-VC_RS06205	447	416	432	373	747	700	694	953	940	895	host	gene-VC_RS06205
gene-VC_RS04730	2425	2450	2509	2244	1701	2203	1713	2137	2015	1807	host	lptE
gene-VC_RS04140	47	48	34	32	35	16	36	36	40	46	host	tcpR
