Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol
gene-PA2591	70	232	16	79	5	13	8	5	host	gene-PA2591
gene-PA2331	3	9	3	1	3	1	0	0	host	gene-PA2331
gene-PA0694	6	3	1	2	0	0	0	1	host	exbD2
gene-PA4919	56	77	28	51	6	15	11	4	host	pncB1
gene-PA4421	775	779	179	354	38	87	40	25	host	gene-PA4421
gene-PA3438	198	168	93	132	22	10	8	9	host	folE1
gene-PA0447	226	222	57	88	41	53	48	17	host	gcdH
gene-PA0151	37	35	16	22	5	4	4	3	host	gene-PA0151
gene-PA1743	3	3	2	2	0	1	0	0	host	gene-PA1743
gene-PA1295	15	27	14	25	11	1	5	3	host	gene-PA1295
gene-PA3060	12	6	8	4	1	3	2	0	host	pelE
gene-PA4329	264	198	170	215	45	24	12	13	host	pykA
gene-PA2261	5	6	3	3	0	6	0	0	host	gene-PA2261
gene-PA1041	736	671	240	315	71	64	29	20	host	gene-PA1041
gene-PA0638	80	66	87	139	71	95	56	33	host	gene-PA0638
gene-PA3452	846	971	1877	2351	364	387	112	72	host	mqoA
gene-PA2764	47	49	21	41	5	4	7	4	host	gene-PA2764
gene-PA3888	9	12	3	4	1	2	1	1	host	gene-PA3888
gene-PA0038	114	226	108	128	17	31	7	6	host	gene-PA0038
gene-PA0093	58	57	35	45	17	36	11	11	host	gene-PA0093
gene-PA5004	396	486	456	695	98	114	75	43	host	gene-PA5004
gene-PA2926	9	5	3	7	1	6	3	1	host	hisP
gene-PA4141	182	1181	92	1131	41	355	144	16	host	gene-PA4141
gene-PA0262	104	126	69	98	19	24	12	9	host	gene-PA0262
gene-PA1004	242	277	164	320	69	83	49	38	host	nadA
gene-PA4465	230	231	149	239	40	37	20	15	host	gene-PA4465
gene-PA2509	3	0	2	2	0	0	0	1	host	catB
gene-PA4704	158	145	90	132	11	27	15	14	host	cbpA
gene-PA2671	17	23	8	16	2	4	0	5	host	gene-PA2671
gene-PA2271	13	13	1	5	0	0	1	1	host	gene-PA2271
gene-PA3931	8	10	16	25	4	1	1	0	host	gene-PA3931
gene-PA0845	36	22	8	18	8	9	5	1	host	gene-PA0845
gene-PA3242	31	32	42	57	9	15	8	5	host	gene-PA3242
gene-PA2719	9	15	6	12	0	2	1	1	host	gene-PA2719
gene-PA4660	102	73	79	111	30	18	15	5	host	phr
gene-PA2206	38	29	16	23	2	7	4	4	host	gene-PA2206
gene-PA0422	195	493	303	399	48	62	18	14	host	gene-PA0422
gene-PA1201	64	60	37	34	6	4	3	4	host	gene-PA1201
gene-PA2660	21	20	7	13	3	9	0	0	host	gene-PA2660
gene-PA4513	274	277	35	56	12	19	8	1	host	gene-PA4513
gene-PA0611	92	74	59	59	20	15	6	7	host	prtR
gene-PA1319	7	6	12	9	2	5	7	3	host	cyoC
gene-PA0868	30	50	91	147	8	11	11	7	host	gene-PA0868
gene-PA2985	18	16	8	23	1	5	4	3	host	gene-PA2985
gene-PA2205	25	21	10	13	3	3	3	3	host	gene-PA2205
gene-PA0068	151	78	41	39	9	9	5	1	host	gene-PA0068
gene-PA2220	22	42	9	16	1	6	1	2	host	gene-PA2220
gene-PA4355	3	6	4	5	0	1	2	0	host	gene-PA4355
gene-PA1357	126	107	26	40	5	10	5	2	host	gene-PA1357
gene-PA0678	2	2	3	0	0	0	2	0	host	gene-PA0678
gene-PA1741	25	35	16	27	8	8	6	7	host	gene-PA1741
gene-PA0391	234	163	61	77	18	11	3	7	host	gene-PA0391
gene-PA2034	1010	470	123	150	27	17	8	11	host	gene-PA2034
gene-PA1739	7	8	6	8	2	2	2	1	host	gene-PA1739
gene-PA2454	35	15	27	43	6	2	1	2	host	gene-PA2454
gene-PA5005	519	779	857	1322	184	211	148	68	host	gene-PA5005
gene-PA4274	517	1070	1333	2057	428	499	339	196	host	rplK
gene-PA1809	47	33	38	46	10	12	17	11	host	gene-PA1809
gene-PA4363	39	20	7	13	4	3	2	0	host	iciA
gene-PA1992	111	76	72	62	5	6	1	2	host	ercS
gene-PA4905	11	12	10	11	2	1	1	0	host	vanB
gene-PA4948	528	411	158	207	82	118	37	38	host	gene-PA4948
gene-PA2071	389	290	98	133	29	26	8	13	host	fusA2
gene-PA4901	7	4	1	8	0	0	0	1	host	mdlC
gene-PA3723	134	81	35	62	13	9	4	4	host	gene-PA3723
gene-PA2541	124	139	124	186	37	41	20	11	host	gene-PA2541
gene-PA3911	8	1	3	6	0	2	0	0	host	gene-PA3911
gene-PA5077	329	349	443	517	69	65	33	18	host	mdoH
gene-PA5434	23	31	9	18	5	2	3	1	host	mtr
gene-PA1937	42	31	8	19	4	7	3	1	host	gene-PA1937
gene-PA2588	19	22	7	7	4	5	3	2	host	gene-PA2588
gene-PA1195	13	7	5	11	2	2	2	1	host	gene-PA1195
gene-PA4974	198	154	106	176	33	44	35	26	host	gene-PA4974
gene-PA5279	137	116	96	120	19	28	20	7	host	gene-PA5279
gene-PPLUZ19_gp4	1	0	20148	19534	31241	26378	9343	8545	phage	gp4
gene-PA5285	1101	716	180	278	82	1344	74	74	host	gene-PA5285
gene-PA3719	3	3	4	3	0	3	0	0	host	armR
gene-PA1475	39	35	45	51	10	10	9	10	host	ccmA
gene-PA5554	4977	9084	3734	7028	1286	1625	1042	621	host	atpD
gene-PA3235	138	125	73	127	8	3	1	3	host	gene-PA3235
gene-PA5063	47	57	55	56	8	14	12	11	host	ubiE
gene-PA0433	33	38	2	7	1	2	2	4	host	gene-PA0433
gene-PA1573	101	78	64	80	12	13	9	7	host	gene-PA1573
gene-PA0604	356	295	316	435	57	70	18	15	host	gene-PA0604
gene-PA2553	1088	703	1224	1374	160	82	25	29	host	gene-PA2553
gene-PA5157	9	10	5	8	3	0	3	0	host	gene-PA5157
gene-PA0916	25	21	25	36	19	29	22	14	host	gene-PA0916
gene-PA3382	2	0	0	2	0	0	0	0	host	phnE
gene-PA4693	189	262	214	256	53	53	34	24	host	pssA
gene-PA0232	24	14	11	13	2	2	1	2	host	pcaC
gene-PA5217	766	990	39	33	13	10	2	4	host	gene-PA5217
gene-PA0682	11	5	2	6	2	3	5	1	host	gene-PA0682
gene-PA3904	11	10	5	4	1	4	2	1	host	gene-PA3904
gene-PPLUZ19_gp42	0	0	75	85	10	42	7967	5672	phage	gp42
gene-PA2783	14	15	9	14	1	4	2	4	host	gene-PA2783
gene-PA0140	131	117	111	160	47	27	28	28	host	ahpF
gene-PA5255	1195	1242	220	358	53	62	29	20	host	algQ
gene-PA2022	23	21	20	22	5	5	3	0	host	gene-PA2022
gene-PA2849	11	8	1	10	1	0	1	2	host	ohrR
gene-PA1036	135	91	28	53	7	7	3	3	host	gene-PA1036
gene-PA3692	78	59	103	80	31	13	11	11	host	lptF
gene-PA4739	180	96	106	103	19	40	22	10	host	gene-PA4739
gene-PA2474	10	11	13	9	4	3	1	0	host	gene-PA2474
gene-PA5369	60	81	52	91	32	41	21	13	host	pstS
gene-PA3792	233	275	125	195	25	29	17	7	host	leuA
gene-PA2281	25	23	24	33	12	10	5	6	host	gene-PA2281
gene-PA2311	3	3	0	0	0	1	1	0	host	gene-PA2311
gene-PA3306	62	71	21	28	4	7	9	4	host	gene-PA3306
gene-PA1576	175	95	84	114	11	19	11	5	host	gene-PA1576
gene-PA4487	163	175	110	162	21	24	27	17	host	gene-PA4487
gene-PA1791	37	52	47	55	30	39	29	22	host	gene-PA1791
gene-PA2152	27	31	13	16	4	5	5	1	host	gene-PA2152
gene-PA3006	114	132	32	47	11	9	11	16	host	psrA
gene-PA3063	26	24	13	17	3	1	0	1	host	pelB
gene-PA3670	139	136	28	38	7	5	8	2	host	gene-PA3670
gene-PA2137	3	2	3	2	1	0	1	0	host	gene-PA2137
gene-PA5376	81	82	76	75	9	13	12	10	host	gene-PA5376
gene-PA3020	56	80	55	90	17	8	5	7	host	gene-PA3020
gene-PA0663	337	439	193	342	51	61	57	25	host	gene-PA0663
gene-PA0471	159	140	8	10	4	3	4	3	host	gene-PA0471
gene-PA4705	600	525	459	707	29	25	29	12	host	gene-PA4705
gene-PA0640	120	145	116	231	101	172	103	66	host	gene-PA0640
gene-PA0277	18	12	9	19	13	17	10	9	host	gene-PA0277
gene-PA1284	39	29	24	36	7	7	3	2	host	gene-PA1284
gene-PA1291	30	25	13	11	3	3	3	1	host	gene-PA1291
gene-PA3840	689	148	329	98	52	12	4	16	host	gene-PA3840
gene-PA3071	32	38	19	29	5	9	5	3	host	gene-PA3071
gene-PA5413	202	191	172	195	35	26	16	19	host	ltaA
gene-PA1312	9	11	7	6	3	3	0	1	host	gene-PA1312
gene-PA4702	15	22	17	21	3	6	2	2	host	gene-PA4702
gene-PA2639	91	138	329	434	85	111	53	36	host	nuoD
gene-PA4902	7	7	5	7	1	3	0	1	host	gene-PA4902
gene-PA1216	0	2	2	3	2	2	0	0	host	gene-PA1216
gene-PA4015	41	32	36	33	4	5	4	3	host	gene-PA4015
gene-PA2918	42	37	22	34	9	8	8	2	host	gene-PA2918
gene-PA1631	41	18	11	14	1	1	1	1	host	gene-PA1631
gene-PA4490	15	29	20	39	8	26	8	7	host	gene-PA4490
gene-PA3956	26	21	5	18	1	2	0	0	host	gene-PA3956
gene-PA0527	158	102	30	60	18	23	13	8	host	dnr
gene-PA1437	63	42	22	21	2	7	1	2	host	gene-PA1437
gene-PA2815	101	94	48	67	20	16	5	5	host	gene-PA2815
gene-PA5054	43	45	50	76	17	17	9	14	host	hslU
gene-PA5504	53	58	111	105	15	21	8	10	host	gene-PA5504
gene-PA3362	24	21	14	25	3	8	2	2	host	gene-PA3362
gene-PA5363	285	273	129	228	29	28	24	18	host	gene-PA5363
gene-PA3995	17	9	9	13	1	2	0	0	host	gene-PA3995
gene-PA4955	51	38	17	15	6	2	5	3	host	gene-PA4955
gene-PA1942	4	2	6	5	2	2	1	1	host	gene-PA1942
gene-PA5099	23	13	9	10	2	4	1	4	host	gene-PA5099
gene-PA1807	61	51	97	86	16	11	14	22	host	gene-PA1807
gene-PA2475	36	35	20	24	8	8	5	2	host	gene-PA2475
gene-PA4148	2	9	2	6	1	2	1	1	host	gene-PA4148
gene-PA0395	426	489	215	362	40	46	19	15	host	pilT
gene-PPLUZ19_gp7	0	0	5452	5395	29231	26036	9346	8153	phage	gp7
gene-PA4937	1326	1119	1688	1947	262	243	52	45	host	rnr
gene-PA1105	85	53	50	66	7	12	3	6	host	fliJ
gene-PA5128	215	313	299	373	92	121	51	42	host	secB
gene-PA1467	39	19	30	32	5	3	0	3	host	gene-PA1467
gene-PA1471	18	7	9	8	3	4	1	1	host	gene-PA1471
gene-PA4509	64	45	25	30	6	8	3	2	host	gene-PA4509
gene-PA1839	16	10	14	30	9	16	7	3	host	gene-PA1839
gene-PA1420	55	15	28	16	3	6	0	1	host	gene-PA1420
gene-PA0534	19	18	14	44	2	3	4	1	host	gene-PA0534
gene-PA2884	77	66	38	37	5	11	8	6	host	gene-PA2884
gene-PA3140	47	22	20	31	9	10	5	4	host	gene-PA3140
gene-PA3890	24	14	7	14	0	4	2	1	host	gene-PA3890
gene-PA2056	18	9	3	6	1	3	2	1	host	gene-PA2056
gene-PA3844	74	61	18	30	2	2	2	1	host	gene-PA3844
gene-PA5236	243	183	146	198	22	12	10	8	host	gene-PA5236
gene-PA2750	24	15	13	22	1	4	4	2	host	gene-PA2750
gene-PA2860	84	96	56	78	26	36	22	16	host	gene-PA2860
gene-PA0031	46	49	12	22	9	5	5	9	host	betC
gene-PA1062	107	70	41	81	12	6	8	7	host	gene-PA1062
gene-PA2230	31	26	23	54	5	6	5	3	host	gene-PA2230
gene-PA1199	210	222	47	66	7	15	10	5	host	gene-PA1199
gene-PA4769	174	183	103	268	25	36	18	15	host	gene-PA4769
gene-PA4515	48	54	24	23	5	8	5	2	host	gene-PA4515
gene-PA4397	12	15	4	9	3	4	3	0	host	panE
gene-PA5080	86	87	25	54	11	20	8	4	host	gene-PA5080
gene-PA2276	9	10	13	18	5	5	5	1	host	gene-PA2276
gene-PA3892	14	19	7	6	0	1	0	0	host	gene-PA3892
gene-PA2324	4	6	6	3	1	1	2	0	host	gene-PA2324
gene-PA5246	48	39	48	62	10	7	3	2	host	gene-PA5246
gene-PPLUZ19_gp26	0	2	5	15	15449	28118	270275	213537	phage	gp26
gene-PA4555	100	83	155	168	49	38	8	11	host	pilY2
gene-PA1282	4	7	7	4	2	1	1	0	host	gene-PA1282
gene-PA1382	152	155	66	137	27	42	28	21	host	gene-PA1382
gene-PA0998	2003	2089	1136	1270	221	151	61	74	host	pqsC
gene-PA3031	387	542	384	475	88	94	40	29	host	gene-PA3031
gene-PA2925	7	1	4	4	0	0	1	1	host	hisM
gene-PA4494	245	455	157	334	52	56	37	23	host	roxS
gene-PA2200	190	168	145	249	26	38	23	13	host	gene-PA2200
gene-PA2720	80	84	47	86	11	11	11	7	host	gene-PA2720
gene-PA0512	1	1	0	1	0	1	0	1	host	gene-PA0512
gene-PA4866	23	25	6	11	3	2	1	3	host	gene-PA4866
gene-PA0910	18	32	22	45	15	12	11	3	host	gene-PA0910
gene-PA5383	17	15	6	8	4	1	5	6	host	gene-PA5383
gene-PA2070	22	19	13	17	4	6	2	2	host	gene-PA2070
gene-PA1258	2	3	5	4	0	1	1	0	host	gene-PA1258
gene-PA3226	73	47	46	58	9	2	7	2	host	gene-PA3226
gene-PA4256	2489	4050	1908	3918	1114	1606	745	417	host	rplP
gene-PA0806	13	7	6	11	1	2	1	0	host	gene-PA0806
gene-PA3665	61	39	33	38	14	8	4	4	host	gene-PA3665
gene-PA0680	5	7	1	4	1	0	1	1	host	gene-PA0680
gene-PA1764	22	22	29	29	2	4	2	2	host	gene-PA1764
gene-PA1080	247	199	483	368	67	30	15	30	host	flgE
gene-PA4913	78	93	68	88	11	13	4	4	host	gene-PA4913
gene-PA1522	65	43	35	40	8	13	3	5	host	gene-PA1522
gene-PA5183	18	17	13	22	6	2	2	2	host	gene-PA5183
gene-PA3468	109	86	69	79	12	10	9	4	host	gene-PA3468
gene-PA1176	10	12	2	6	1	0	1	0	host	napF
gene-PA5495	98	99	71	123	20	20	13	11	host	thrB
gene-PA1756	24	18	14	15	7	4	5	6	host	cysH
gene-PA3948	28	58	35	56	9	6	9	6	host	rocA1
gene-PA0591	38	30	30	35	6	16	5	7	host	gene-PA0591
gene-PA2732	900	1226	776	1307	108	130	47	41	host	gene-PA2732
gene-PA0718	9	15	11	7	5	3	6	8	host	gene-PA0718
gene-PA0800	14	25	3	7	0	5	1	3	host	gene-PA0800
gene-PA2880	2	1	3	1	1	1	0	0	host	gene-PA2880
gene-PA1057	25	31	28	39	6	3	2	2	host	gene-PA1057
gene-PA1293	96	108	65	85	21	20	9	9	host	gene-PA1293
gene-PA3757	8	1	1	3	0	1	1	0	host	gene-PA3757
gene-PA4228	190	162	352	261	27	16	8	12	host	pchD
gene-PA4914	17	9	3	3	2	2	0	2	host	gene-PA4914
gene-PA4596	9	8	18	20	9	3	0	0	host	gene-PA4596
gene-PA1453	836	504	247	372	42	55	27	29	host	flhF
gene-PA5453	970	681	369	441	40	22	4	13	host	gmd
gene-PA0217	39	23	10	20	4	4	3	0	host	gene-PA0217
gene-PA2933	6	3	7	5	1	0	3	0	host	gene-PA2933
gene-PA0795	1342	672	524	398	46	28	16	23	host	prpC
gene-PA1547	25	18	8	16	2	2	4	0	host	gene-PA1547
gene-PA0168	108	62	6	17	3	4	4	3	host	gene-PA0168
gene-PA3078	60	55	134	204	20	10	6	6	host	gene-PA3078
gene-PA0702	18	11	11	15	5	3	4	0	host	gene-PA0702
gene-PA4364	4	5	4	1	1	0	0	0	host	gene-PA4364
gene-PA1015	54	55	15	36	7	12	6	3	host	gene-PA1015
gene-PA1738	31	40	8	15	5	9	1	3	host	gene-PA1738
gene-PA0647	117	150	68	114	36	55	30	18	host	gene-PA0647
gene-PA2171	5	3	2	0	0	1	0	0	host	gene-PA2171
gene-PA1442	203	187	91	157	22	22	17	15	host	gene-PA1442
gene-PA1700	157	42	80	18	32	7	4	5	host	gene-PA1700
gene-PA2055	6	1	6	5	1	0	1	0	host	gene-PA2055
gene-PA4620	7	7	10	26	3	3	2	0	host	gene-PA4620
gene-PA3291	12	27	6	25	1	4	2	1	host	gene-PA3291
gene-PA4918	30	29	4	13	3	3	0	1	host	gene-PA4918
gene-PA2049	128	102	43	81	9	15	7	5	host	gene-PA2049
gene-PA0892	238	460	188	301	32	31	7	8	host	aotP
gene-PA2058	4	5	2	0	0	0	0	1	host	gene-PA2058
gene-PA5410	15	13	4	15	2	5	0	2	host	gbcA
gene-PA1268	5	6	0	1	0	0	0	0	host	gene-PA1268
gene-PA1200	83	64	21	40	9	10	1	2	host	gene-PA1200
gene-PA4423	96	102	95	132	33	33	13	15	host	gene-PA4423
gene-PA1776	1040	2294	2280	4470	538	938	349	177	host	sigX
gene-PA4990	52	31	28	19	12	4	3	5	host	gene-PA4990
gene-PA1280	8	9	7	9	3	1	0	0	host	gene-PA1280
gene-PA5433	19	14	5	16	4	3	0	3	host	gene-PA5433
gene-PA1737	154	130	85	88	13	12	6	6	host	gene-PA1737
gene-PA1106	86	73	50	90	9	16	10	6	host	gene-PA1106
gene-PA3802	398	619	386	624	125	152	57	52	host	hisS
gene-PA0336	696	763	219	331	62	83	43	37	host	ygdP
gene-PA5253	1621	1101	334	403	91	76	70	45	host	algP
gene-PA1728	84	108	52	86	17	20	5	5	host	gene-PA1728
gene-PA2608	38	24	14	28	3	7	2	2	host	gene-PA2608
gene-PA1276	8	10	3	10	0	3	0	0	host	cobC
gene-PA1666	9	14	8	14	5	5	6	1	host	gene-PA1666
gene-PA1010	472	544	321	464	120	147	88	67	host	dapA
gene-PA4566	654	600	509	824	114	171	95	57	host	obg
gene-PA5230	55	58	31	81	5	10	9	5	host	gene-PA5230
gene-PA4384	6	7	4	7	1	0	2	1	host	gene-PA4384
gene-PA1642	125	131	82	95	37	40	25	18	host	selD
gene-PA0337	972	783	313	425	58	89	39	32	host	ptsP
gene-PA4825	13	16	11	9	1	2	3	2	host	mgtA
gene-PA0808	33	20	19	25	6	9	5	0	host	gene-PA0808
gene-PA0944	87	99	98	150	32	44	24	21	host	purN
gene-PA2390	667	616	621	930	124	176	72	55	host	pvdT
gene-PA3523	2	12	5	3	1	2	0	2	host	gene-PA3523
gene-PA4130	23	19	8	20	10	9	7	3	host	gene-PA4130
gene-PA0936	118	109	91	121	35	31	17	11	host	lpxO2
gene-PA1366	170	165	71	143	23	18	9	7	host	gene-PA1366
gene-PA5465	70	58	38	94	12	12	4	5	host	gene-PA5465
gene-PA2703	5	8	5	5	4	11	3	2	host	gene-PA2703
gene-PA0729.1	13	42	25	42	5	6	4	2	host	gene-PA0729.1
gene-PA0779	108	66	105	106	27	17	12	12	host	gene-PA0779
gene-PA1962	1	5	1	2	0	1	0	1	host	azoR2
gene-PA4162	68	63	20	29	5	12	1	3	host	gene-PA4162
gene-PA1555.1	8	29	9	25	2	5	6	3	host	ccoQ2
gene-PA4767	133	140	78	127	22	25	20	16	host	gene-PA4767
gene-PA0204	12	8	11	6	2	4	2	0	host	gene-PA0204
gene-PA5475	24	34	11	19	1	2	0	0	host	gene-PA5475
gene-PA3367	27	32	28	35	7	13	5	2	host	gene-PA3367
gene-PA3797	179	192	82	140	19	24	14	11	host	gene-PA3797
gene-PA3389	1	2	1	0	1	1	0	1	host	gene-PA3389
gene-PA5221	143	102	87	140	16	13	7	6	host	gene-PA5221
gene-PA2952	3690	2714	1214	1312	287	232	149	172	host	etfB
gene-PA4883	1	0	2	4	0	1	0	0	host	gene-PA4883
gene-PA4134	11	12	6	17	2	7	4	2	host	gene-PA4134
gene-PA4089	15	12	5	1	1	0	2	0	host	gene-PA4089
gene-PA3990	2	2	5	2	0	2	1	0	host	gene-PA3990
gene-PA5464	99	84	89	128	16	22	9	6	host	gene-PA5464
gene-PA1394	5	0	1	5	1	1	1	0	host	gene-PA1394
gene-PA2967	856	1208	1699	2978	642	946	337	163	host	fabG
gene-PA0651	414	362	324	438	51	47	29	31	host	trpC
gene-PA1174	28	29	18	34	4	9	6	3	host	napA
gene-PA3900	49	39	3	6	0	1	1	0	host	gene-PA3900
gene-PA4360a	3	2	3	1	1	1	1	0	host	gene-PA4360a
gene-PA4227	842	729	99	114	22	12	5	9	host	pchR
gene-PA2278	5	2	2	4	1	3	2	0	host	arsB
gene-PA4252	1735	4180	1649	3828	880	1331	681	396	host	rplX
gene-PA2241	21	10	20	20	7	3	0	2	host	pslK
gene-PA0212	5	5	2	18	1	4	1	0	host	mdcE
gene-PA3419	19	13	8	8	2	2	3	1	host	gene-PA3419
gene-PA3807	801	1247	1185	2002	359	503	240	132	host	ndk
gene-PA0924	48	42	25	33	6	13	13	11	host	gene-PA0924
gene-PA3505	13	9	12	10	2	6	0	1	host	gene-PA3505
gene-PA2054	16	11	10	8	3	2	0	1	host	cynR
gene-PA2207	5	3	6	3	1	0	0	1	host	gene-PA2207
gene-PA3874	13	7	10	7	2	1	0	1	host	narH
gene-PA4392	58	104	20	39	14	10	7	4	host	gene-PA4392
gene-PA5222	94	115	70	125	9	11	7	7	host	gene-PA5222
gene-PA5524	64	63	25	37	9	14	8	4	host	gene-PA5524
gene-PA2638	148	213	545	908	158	191	102	61	host	nuoB
gene-PA3089	24	12	3	11	2	3	0	0	host	gene-PA3089
gene-PA3106	398	304	202	310	72	70	33	27	host	gene-PA3106
gene-PA3100	199	132	101	122	7	12	8	4	host	xcpU
gene-PA0879	11	11	7	7	1	0	2	0	host	gene-PA0879
gene-PA2853	8875	7892	6041	8486	2269	2436	1074	722	host	oprI
gene-PA5125	121	66	57	67	17	19	7	7	host	ntrC
gene-PA2097	12	12	10	18	2	0	0	0	host	gene-PA2097
gene-PA3194	520	891	330	748	30	35	24	12	host	edd
gene-PA0503	73	80	82	164	17	17	8	1	host	gene-PA0503
gene-PA1255	3	4	2	2	1	0	0	0	host	gene-PA1255
gene-PA3122	112	80	38	41	7	6	2	4	host	gene-PA3122
gene-PA3514	19	13	4	10	1	2	0	0	host	gene-PA3514
gene-PA0239	11	8	12	5	1	1	1	3	host	gene-PA0239
gene-PA0089	40	63	47	94	6	21	10	6	host	gene-PA0089
gene-PA4874	645	310	131	197	32	28	12	11	host	gene-PA4874
gene-PA2744	2743	3672	3093	4574	632	853	397	281	host	thrS
gene-PA3480	111	134	96	158	38	44	32	21	host	gene-PA3480
gene-PA4414	619	599	419	683	46	66	42	20	host	murD
gene-PA0172	45	69	19	43	5	5	3	3	host	gene-PA0172
gene-PA2289	192	187	172	241	19	33	9	10	host	gene-PA2289
gene-PA3433	25	20	14	20	4	7	4	2	host	gene-PA3433
gene-PA0749	66	57	21	53	5	18	10	6	host	gene-PA0749
gene-PA2991	629	747	524	825	113	127	87	62	host	sth
gene-PA4437	28	26	25	41	9	4	7	1	host	gene-PA4437
gene-PA4567	1386	3019	2366	4205	623	972	574	346	host	rpmA
gene-PA0017	50	40	74	77	13	16	8	12	host	gene-PA0017
gene-PA2744.1	6	17	24	27	6	6	4	4	host	gene-PA2744.1
gene-PA3662	150	135	30	56	13	18	8	2	host	gene-PA3662
gene-PA4168	240	355	179	181	37	29	21	5	host	fpvB
gene-PA1638	19	29	11	18	4	3	4	2	host	gene-PA1638
gene-PA1277	10	9	9	21	2	1	0	0	host	cobQ
gene-PA0329	161	227	111	157	45	33	14	14	host	gene-PA0329
gene-PA0011	150	165	81	127	31	37	22	11	host	gene-PA0011
gene-PA4233	293	467	212	344	66	83	53	29	host	gene-PA4233
gene-PA0530	34	13	23	55	2	2	2	4	host	gene-PA0530
gene-PA0788	69	54	31	43	11	12	6	4	host	gene-PA0788
gene-PA3178	97	56	25	37	10	8	6	6	host	gene-PA3178
gene-PA0059	30	13	16	7	2	3	3	1	host	osmC
gene-PA1790	39	32	38	64	20	18	11	6	host	gene-PA1790
gene-PA0452	18	12	7	4	1	5	3	2	host	gene-PA0452
gene-PA5100	41	47	35	35	4	6	3	2	host	hutU
gene-PA3046	175	179	140	185	27	53	33	14	host	gene-PA3046
gene-PA1889	37	33	18	25	10	6	5	6	host	gene-PA1889
gene-PA1218	14	12	4	5	1	5	0	3	host	gene-PA1218
gene-PA0008	289	356	397	592	81	130	83	56	host	glyS
gene-PA4855	87	145	58	131	31	49	32	14	host	purD
gene-PA1191	32	26	23	30	3	3	3	1	host	gene-PA1191
gene-PA2382	23	29	28	28	7	2	3	5	host	lldA
gene-PA2975	386	367	254	358	49	54	27	10	host	rluC
gene-PA4272.1	978	4522	1792	3688	688	1152	782	426	host	gene-PA4272.1
gene-PA4342	16	18	8	21	1	7	6	1	host	gene-PA4342
gene-PA3688	48	41	14	20	8	8	0	0	host	gene-PA3688
gene-PA4537	13	14	9	12	2	2	1	2	host	gene-PA4537
gene-PA5185	42	43	18	31	4	1	0	1	host	gene-PA5185
gene-PA0541	77	97	83	141	33	47	36	22	host	gene-PA0541
gene-PA2679	132	76	36	56	4	2	6	5	host	gene-PA2679
gene-PA4937.1	94	435	133	348	113	250	112	51	host	gene-PA4937.1
gene-PA3533	120	104	139	195	48	44	29	20	host	gene-PA3533
gene-PA4888	15	99	56	167	8	6	2	2	host	desB
gene-PA5289	26	17	11	20	6	4	2	2	host	gene-PA5289
gene-PA2050	1	1	1	2	1	0	0	0	host	gene-PA2050
gene-PA3029	105	86	71	67	10	10	4	5	host	moaB2
gene-PA2632	30	52	30	40	8	11	7	4	host	gene-PA2632
gene-PA2465	3	11	10	24	1	0	0	0	host	gene-PA2465
gene-PA4683	66	66	26	42	12	13	13	9	host	gene-PA4683
gene-PA2674	4	6	6	6	0	0	3	2	host	gene-PA2674
gene-PA0166	15	9	6	11	5	2	2	1	host	gene-PA0166
gene-PA4933	2099	3048	2040	3847	1137	1511	693	410	host	gene-PA4933
gene-PA3621	52	44	70	101	36	31	34	19	host	fdxA
gene-PA1594	32	47	13	27	6	9	3	3	host	gene-PA1594
gene-PA1043	176	131	63	91	15	16	9	13	host	gene-PA1043
gene-PA3644	640	889	884	1479	156	182	100	56	host	lpxA
gene-PA4654	12	6	9	12	3	4	3	3	host	gene-PA4654
gene-PA1995	19	16	15	19	9	3	3	1	host	gene-PA1995
gene-PA5479	69	86	38	52	17	22	12	11	host	gltP
gene-PA5072	26	28	18	24	7	6	5	7	host	gene-PA5072
gene-PA0705	71	74	49	84	27	26	12	7	host	migA
gene-PA3803	344	488	294	510	125	128	83	51	host	gcpE
gene-PPLUZ19_gp34	0	1	135	242	64	222	124070	82107	phage	gp34
gene-PA3085	34	44	46	55	13	8	11	6	host	gene-PA3085
gene-PA3949	89	72	31	80	18	14	11	6	host	gene-PA3949
gene-PA3926	32	27	21	25	7	9	2	2	host	gene-PA3926
gene-PA3755	59	64	16	20	5	8	4	2	host	gene-PA3755
gene-PA1677	51	16	24	27	7	9	7	2	host	gene-PA1677
gene-PA3098	151	94	87	127	6	10	6	3	host	xcpW
gene-PA3902	48	37	32	36	3	5	1	2	host	gene-PA3902
gene-PA0386	22	32	18	49	4	9	5	6	host	gene-PA0386
gene-PA5301	322	494	214	358	64	96	54	38	host	gene-PA5301
gene-PA4318	30	44	30	40	9	13	10	6	host	gene-PA4318
gene-PA1133	15	15	14	24	5	2	0	0	host	gene-PA1133
gene-PA2746a	24	19	10	23	3	6	2	4	host	gene-PA2746a
gene-PA2863	48	16	11	7	0	3	0	0	host	lipH
gene-PA5108	48	55	37	47	6	5	6	5	host	gene-PA5108
gene-PA5331	318	395	190	335	67	88	33	29	host	pyrE
gene-PA0945	169	166	218	318	86	111	76	47	host	purM
gene-PA0114	85	70	27	43	11	9	6	6	host	senC
gene-PA1732	9	20	11	20	5	3	2	0	host	gene-PA1732
gene-PA3794	49	60	26	53	11	11	7	4	host	gene-PA3794
